# x	: fraction synchrotron photon frequency to critical frequency
# log10(x)	CDF
# 
-4.14000e+00	4.84863e-06
-4.13000e+00	5.00022e-06
-4.12000e+00	5.15654e-06
-4.11000e+00	5.31772e-06
-4.10000e+00	5.48393e-06
-4.09000e+00	5.65532e-06
-4.08000e+00	5.83204e-06
-4.07000e+00	6.01427e-06
-4.06000e+00	6.20218e-06
-4.05000e+00	6.39594e-06
-4.04000e+00	6.59573e-06
-4.03000e+00	6.80175e-06
-4.02000e+00	7.01419e-06
-4.01000e+00	7.23324e-06
-4.00000e+00	7.45912e-06
-3.99000e+00	7.69204e-06
-3.98000e+00	7.93220e-06
-3.97000e+00	8.17985e-06
-3.96000e+00	8.43521e-06
-3.95000e+00	8.69853e-06
-3.94000e+00	8.97005e-06
-3.93000e+00	9.25002e-06
-3.92000e+00	9.53871e-06
-3.91000e+00	9.83640e-06
-3.90000e+00	1.01434e-05
-3.89000e+00	1.04599e-05
-3.88000e+00	1.07862e-05
-3.87000e+00	1.11228e-05
-3.86000e+00	1.14698e-05
-3.85000e+00	1.18276e-05
-3.84000e+00	1.21966e-05
-3.83000e+00	1.25770e-05
-3.82000e+00	1.29693e-05
-3.81000e+00	1.33739e-05
-3.80000e+00	1.37910e-05
-3.79000e+00	1.42211e-05
-3.78000e+00	1.46646e-05
-3.77000e+00	1.51219e-05
-3.76000e+00	1.55934e-05
-3.75000e+00	1.60797e-05
-3.74000e+00	1.65810e-05
-3.73000e+00	1.70980e-05
-3.72000e+00	1.76311e-05
-3.71000e+00	1.81807e-05
-3.70000e+00	1.87475e-05
-3.69000e+00	1.93319e-05
-3.68000e+00	1.99346e-05
-3.67000e+00	2.05559e-05
-3.66000e+00	2.11967e-05
-3.65000e+00	2.18573e-05
-3.64000e+00	2.25385e-05
-3.63000e+00	2.32410e-05
-3.62000e+00	2.39653e-05
-3.61000e+00	2.47121e-05
-3.60000e+00	2.54822e-05
-3.59000e+00	2.62763e-05
-3.58000e+00	2.70950e-05
-3.57000e+00	2.79393e-05
-3.56000e+00	2.88098e-05
-3.55000e+00	2.97074e-05
-3.54000e+00	3.06330e-05
-3.53000e+00	3.15873e-05
-3.52000e+00	3.25714e-05
-3.51000e+00	3.35861e-05
-3.50000e+00	3.46323e-05
-3.49000e+00	3.57111e-05
-3.48000e+00	3.68235e-05
-3.47000e+00	3.79704e-05
-3.46000e+00	3.91531e-05
-3.45000e+00	4.03725e-05
-3.44000e+00	4.16299e-05
-3.43000e+00	4.29264e-05
-3.42000e+00	4.42633e-05
-3.41000e+00	4.56417e-05
-3.40000e+00	4.70630e-05
-3.39000e+00	4.85285e-05
-3.38000e+00	5.00396e-05
-3.37000e+00	5.15976e-05
-3.36000e+00	5.32042e-05
-3.35000e+00	5.48607e-05
-3.34000e+00	5.65687e-05
-3.33000e+00	5.83299e-05
-3.32000e+00	6.01458e-05
-3.31000e+00	6.20181e-05
-3.30000e+00	6.39487e-05
-3.29000e+00	6.59393e-05
-3.28000e+00	6.79918e-05
-3.27000e+00	7.01082e-05
-3.26000e+00	7.22903e-05
-3.25000e+00	7.45402e-05
-3.24000e+00	7.68601e-05
-3.23000e+00	7.92521e-05
-3.22000e+00	8.17185e-05
-3.21000e+00	8.42615e-05
-3.20000e+00	8.68835e-05
-3.19000e+00	8.95871e-05
-3.18000e+00	9.23746e-05
-3.17000e+00	9.52488e-05
-3.16000e+00	9.82123e-05
-3.15000e+00	1.01268e-04
-3.14000e+00	1.04418e-04
-3.13000e+00	1.07667e-04
-3.12000e+00	1.11016e-04
-3.11000e+00	1.14469e-04
-3.10000e+00	1.18030e-04
-3.09000e+00	1.21701e-04
-3.08000e+00	1.25487e-04
-3.07000e+00	1.29389e-04
-3.06000e+00	1.33413e-04
-3.05000e+00	1.37562e-04
-3.04000e+00	1.41840e-04
-3.03000e+00	1.46251e-04
-3.02000e+00	1.50798e-04
-3.01000e+00	1.55487e-04
-3.00000e+00	1.60322e-04
-2.99000e+00	1.65306e-04
-2.98000e+00	1.70445e-04
-2.97000e+00	1.75744e-04
-2.96000e+00	1.81207e-04
-2.95000e+00	1.86840e-04
-2.94000e+00	1.92647e-04
-2.93000e+00	1.98635e-04
-2.92000e+00	2.04808e-04
-2.91000e+00	2.11173e-04
-2.90000e+00	2.17735e-04
-2.89000e+00	2.24501e-04
-2.88000e+00	2.31477e-04
-2.87000e+00	2.38669e-04
-2.86000e+00	2.46085e-04
-2.85000e+00	2.53730e-04
-2.84000e+00	2.61612e-04
-2.83000e+00	2.69739e-04
-2.82000e+00	2.78117e-04
-2.81000e+00	2.86756e-04
-2.80000e+00	2.95662e-04
-2.79000e+00	3.04844e-04
-2.78000e+00	3.14310e-04
-2.77000e+00	3.24070e-04
-2.76000e+00	3.34133e-04
-2.75000e+00	3.44507e-04
-2.74000e+00	3.55203e-04
-2.73000e+00	3.66229e-04
-2.72000e+00	3.77598e-04
-2.71000e+00	3.89318e-04
-2.70000e+00	4.01402e-04
-2.69000e+00	4.13859e-04
-2.68000e+00	4.26702e-04
-2.67000e+00	4.39943e-04
-2.66000e+00	4.53594e-04
-2.65000e+00	4.67667e-04
-2.64000e+00	4.82175e-04
-2.63000e+00	4.97133e-04
-2.62000e+00	5.12553e-04
-2.61000e+00	5.28450e-04
-2.60000e+00	5.44839e-04
-2.59000e+00	5.61735e-04
-2.58000e+00	5.79154e-04
-2.57000e+00	5.97110e-04
-2.56000e+00	6.15622e-04
-2.55000e+00	6.34707e-04
-2.54000e+00	6.54381e-04
-2.53000e+00	6.74663e-04
-2.52000e+00	6.95571e-04
-2.51000e+00	7.17126e-04
-2.50000e+00	7.39346e-04
-2.49000e+00	7.62253e-04
-2.48000e+00	7.85867e-04
-2.47000e+00	8.10210e-04
-2.46000e+00	8.35305e-04
-2.45000e+00	8.61174e-04
-2.44000e+00	8.87841e-04
-2.43000e+00	9.15331e-04
-2.42000e+00	9.43670e-04
-2.41000e+00	9.72882e-04
-2.40000e+00	1.00300e-03
-2.39000e+00	1.03404e-03
-2.38000e+00	1.06604e-03
-2.37000e+00	1.09902e-03
-2.36000e+00	1.13302e-03
-2.35000e+00	1.16807e-03
-2.34000e+00	1.20420e-03
-2.33000e+00	1.24144e-03
-2.32000e+00	1.27983e-03
-2.31000e+00	1.31940e-03
-2.30000e+00	1.36019e-03
-2.29000e+00	1.40224e-03
-2.28000e+00	1.44558e-03
-2.27000e+00	1.49025e-03
-2.26000e+00	1.53629e-03
-2.25000e+00	1.58375e-03
-2.24000e+00	1.63267e-03
-2.23000e+00	1.68310e-03
-2.22000e+00	1.73507e-03
-2.21000e+00	1.78864e-03
-2.20000e+00	1.84386e-03
-2.19000e+00	1.90077e-03
-2.18000e+00	1.95943e-03
-2.17000e+00	2.01989e-03
-2.16000e+00	2.08220e-03
-2.15000e+00	2.14643e-03
-2.14000e+00	2.21262e-03
-2.13000e+00	2.28085e-03
-2.12000e+00	2.35116e-03
-2.11000e+00	2.42363e-03
-2.10000e+00	2.49833e-03
-2.09000e+00	2.57530e-03
-2.08000e+00	2.65464e-03
-2.07000e+00	2.73641e-03
-2.06000e+00	2.82067e-03
-2.05000e+00	2.90752e-03
-2.04000e+00	2.99702e-03
-2.03000e+00	3.08925e-03
-2.02000e+00	3.18431e-03
-2.01000e+00	3.28227e-03
-2.00000e+00	3.38322e-03
-1.99000e+00	3.48726e-03
-1.98000e+00	3.59447e-03
-1.97000e+00	3.70495e-03
-1.96000e+00	3.81880e-03
-1.95000e+00	3.93612e-03
-1.94000e+00	4.05702e-03
-1.93000e+00	4.18160e-03
-1.92000e+00	4.30998e-03
-1.91000e+00	4.44227e-03
-1.90000e+00	4.57858e-03
-1.89000e+00	4.71904e-03
-1.88000e+00	4.86376e-03
-1.87000e+00	5.01289e-03
-1.86000e+00	5.16655e-03
-1.85000e+00	5.32488e-03
-1.84000e+00	5.48801e-03
-1.83000e+00	5.65610e-03
-1.82000e+00	5.82928e-03
-1.81000e+00	6.00771e-03
-1.80000e+00	6.19155e-03
-1.79000e+00	6.38096e-03
-1.78000e+00	6.57610e-03
-1.77000e+00	6.77715e-03
-1.76000e+00	6.98427e-03
-1.75000e+00	7.19766e-03
-1.74000e+00	7.41750e-03
-1.73000e+00	7.64398e-03
-1.72000e+00	7.87729e-03
-1.71000e+00	8.11764e-03
-1.70000e+00	8.36524e-03
-1.69000e+00	8.62030e-03
-1.68000e+00	8.88304e-03
-1.67000e+00	9.15369e-03
-1.66000e+00	9.43248e-03
-1.65000e+00	9.71965e-03
-1.64000e+00	1.00155e-02
-1.63000e+00	1.03201e-02
-1.62000e+00	1.06340e-02
-1.61000e+00	1.09572e-02
-1.60000e+00	1.12901e-02
-1.59000e+00	1.16330e-02
-1.58000e+00	1.19862e-02
-1.57000e+00	1.23499e-02
-1.56000e+00	1.27245e-02
-1.55000e+00	1.31103e-02
-1.54000e+00	1.35075e-02
-1.53000e+00	1.39167e-02
-1.52000e+00	1.43380e-02
-1.51000e+00	1.47719e-02
-1.50000e+00	1.52187e-02
-1.49000e+00	1.56787e-02
-1.48000e+00	1.61525e-02
-1.47000e+00	1.66403e-02
-1.46000e+00	1.71425e-02
-1.45000e+00	1.76597e-02
-1.44000e+00	1.81921e-02
-1.43000e+00	1.87403e-02
-1.42000e+00	1.93047e-02
-1.41000e+00	1.98858e-02
-1.40000e+00	2.04840e-02
-1.39000e+00	2.10998e-02
-1.38000e+00	2.17338e-02
-1.37000e+00	2.23864e-02
-1.36000e+00	2.30582e-02
-1.35000e+00	2.37497e-02
-1.34000e+00	2.44615e-02
-1.33000e+00	2.51941e-02
-1.32000e+00	2.59481e-02
-1.31000e+00	2.67242e-02
-1.30000e+00	2.75229e-02
-1.29000e+00	2.83450e-02
-1.28000e+00	2.91909e-02
-1.27000e+00	3.00615e-02
-1.26000e+00	3.09573e-02
-1.25000e+00	3.18792e-02
-1.24000e+00	3.28277e-02
-1.23000e+00	3.38037e-02
-1.22000e+00	3.48079e-02
-1.21000e+00	3.58411e-02
-1.20000e+00	3.69041e-02
-1.19000e+00	3.79976e-02
-1.18000e+00	3.91226e-02
-1.17000e+00	4.02799e-02
-1.16000e+00	4.14703e-02
-1.15000e+00	4.26948e-02
-1.14000e+00	4.39542e-02
-1.13000e+00	4.52496e-02
-1.12000e+00	4.65818e-02
-1.11000e+00	4.79520e-02
-1.10000e+00	4.93610e-02
-1.09000e+00	5.08099e-02
-1.08000e+00	5.22997e-02
-1.07000e+00	5.38317e-02
-1.06000e+00	5.54068e-02
-1.05000e+00	5.70261e-02
-1.04000e+00	5.86910e-02
-1.03000e+00	6.04024e-02
-1.02000e+00	6.21617e-02
-1.01000e+00	6.39701e-02
-1.00000e+00	6.58289e-02
-9.90000e-01	6.77392e-02
-9.80000e-01	6.97026e-02
-9.70000e-01	7.17202e-02
-9.60000e-01	7.37935e-02
-9.50000e-01	7.59239e-02
-9.40000e-01	7.81127e-02
-9.30000e-01	8.03616e-02
-9.20000e-01	8.26719e-02
-9.10000e-01	8.50452e-02
-9.00000e-01	8.74830e-02
-8.90000e-01	8.99869e-02
-8.80000e-01	9.25586e-02
-8.70000e-01	9.51996e-02
-8.60000e-01	9.79116e-02
-8.50000e-01	1.00696e-01
-8.40000e-01	1.03555e-01
-8.30000e-01	1.06491e-01
-8.20000e-01	1.09504e-01
-8.10000e-01	1.12597e-01
-8.00000e-01	1.15772e-01
-7.90000e-01	1.19030e-01
-7.80000e-01	1.22374e-01
-7.70000e-01	1.25805e-01
-7.60000e-01	1.29326e-01
-7.50000e-01	1.32937e-01
