# redshift	 global evolution factor
2.65	1.2687e-01
2.66	1.2537e-01
2.67	1.2392e-01
2.68	1.2246e-01
2.69	1.2100e-01
2.70	1.1955e-01
2.71	1.1815e-01
2.72	1.1673e-01
2.73	1.1532e-01
2.74	1.1396e-01
2.75	1.1258e-01
2.76	1.1121e-01
2.77	1.0988e-01
2.78	1.0854e-01
2.79	1.0720e-01
2.80	1.0592e-01
2.81	1.0460e-01
2.82	1.0334e-01
2.83	1.0206e-01
2.84	1.0081e-01
2.85	9.9574e-02
2.86	9.8323e-02
2.87	9.7091e-02
2.88	9.5880e-02
2.89	9.4674e-02
2.90	9.3503e-02
2.91	9.2309e-02
2.92	9.1157e-02
2.93	9.0000e-02
2.94	8.8854e-02
2.95	8.7732e-02
2.96	8.6615e-02
2.97	8.5492e-02
2.98	8.4404e-02
2.99	8.3330e-02
3.00	8.2252e-02
3.01	8.1190e-02
3.02	8.0131e-02
3.03	7.9098e-02
3.04	7.8069e-02
3.05	7.7057e-02
3.06	7.6050e-02
3.07	7.5051e-02
3.08	7.4065e-02
3.09	7.3082e-02
3.10	7.2122e-02
3.11	7.1168e-02
3.12	7.0222e-02
3.13	6.9292e-02
3.14	6.8372e-02
3.15	6.7453e-02
3.16	6.6544e-02
3.17	6.5661e-02
3.18	6.4768e-02
3.19	6.3899e-02
3.20	6.3033e-02
3.21	6.2177e-02
3.22	6.1331e-02
3.23	6.0500e-02
3.24	5.9665e-02
3.25	5.8854e-02
3.26	5.8048e-02
3.27	5.7249e-02
3.28	5.6458e-02
3.29	5.5677e-02
3.30	5.4899e-02
3.31	5.4137e-02
3.32	5.3385e-02
3.33	5.2638e-02
3.34	5.1901e-02
3.35	5.1170e-02
3.36	5.0456e-02
3.37	4.9742e-02
3.38	4.9037e-02
3.39	4.8343e-02
3.40	4.7654e-02
3.41	4.6981e-02
3.42	4.6304e-02
3.43	4.5644e-02
3.44	4.4987e-02
3.45	4.4342e-02
3.46	4.3700e-02
3.47	4.3068e-02
3.48	4.2442e-02
3.49	4.1816e-02
3.50	4.1213e-02
3.51	4.0615e-02
3.52	4.0014e-02
3.53	3.9419e-02
3.54	3.8851e-02
3.55	3.8266e-02
3.56	3.7706e-02
3.57	3.7137e-02
3.58	3.6591e-02
3.59	3.6045e-02
3.60	3.5500e-02
3.61	3.4965e-02
3.62	3.4439e-02
3.63	3.3919e-02
3.64	3.3404e-02
3.65	3.2892e-02
3.66	3.2397e-02
3.67	3.1900e-02
3.68	3.1406e-02
3.69	3.0928e-02
3.70	3.0445e-02
3.71	2.9975e-02
3.72	4.2713e-02
3.73	2.9048e-02
3.74	2.8596e-02
3.75	2.8142e-02
3.76	2.7699e-02
3.77	2.7263e-02
3.78	2.6827e-02
3.79	2.6403e-02
3.80	2.5981e-02
3.81	2.5566e-02
3.82	2.5153e-02
3.83	2.4746e-02
3.84	2.4344e-02
3.85	2.3950e-02
3.86	2.3558e-02
3.87	2.3170e-02
3.88	2.2789e-02
3.89	2.2410e-02
3.90	2.2042e-02
3.91	2.1675e-02
3.92	2.1310e-02
3.93	2.0951e-02
3.94	2.0598e-02
3.95	2.0249e-02
3.96	1.9905e-02
3.97	1.9563e-02
3.98	1.9224e-02
3.99	1.8895e-02
4.00	1.8655e-02
4.01	2.3852e-02
4.02	2.3528e-02
4.03	2.3208e-02
4.04	2.2950e-02
4.05	2.2582e-02
4.06	2.2276e-02
4.07	2.1973e-02
4.08	2.1724e-02
4.09	2.1376e-02
4.10	2.1082e-02
4.11	2.0794e-02
4.12	2.0510e-02
4.13	2.0227e-02
4.14	1.9947e-02
4.15	1.9676e-02
4.16	1.9406e-02
4.17	1.9191e-02
4.18	1.8875e-02
4.19	1.8615e-02
4.20	1.8357e-02
4.21	1.8104e-02
4.22	1.7854e-02
4.23	1.7606e-02
4.24	1.7361e-02
4.25	1.7118e-02
4.26	1.6881e-02
4.27	1.6645e-02
4.28	1.6413e-02
4.29	1.6231e-02
4.30	1.5958e-02
4.31	1.5779e-02
4.32	1.5559e-02
4.33	1.5296e-02
4.34	1.5125e-02
4.35	1.4913e-02
4.36	1.4659e-02
4.37	1.4453e-02
4.38	1.4289e-02
4.39	1.4088e-02
4.40	1.3887e-02
4.41	1.3648e-02
4.42	1.3455e-02
4.43	1.3262e-02
4.44	1.3114e-02
4.45	1.2926e-02
4.46	1.2741e-02
4.47	1.2558e-02
4.48	1.2378e-02
4.49	1.2198e-02
4.50	1.2023e-02
4.51	1.1811e-02
4.52	1.1678e-02
4.53	1.1508e-02
4.54	1.1339e-02
4.55	1.1174e-02
4.56	1.1013e-02
4.57	1.0848e-02
4.58	1.0691e-02
4.59	1.0534e-02
4.60	1.0377e-02
4.61	1.0225e-02
4.62	1.0073e-02
4.63	9.9238e-03
4.64	9.7754e-03
4.65	9.6288e-03
4.66	9.4851e-03
4.67	9.3778e-03
4.68	9.2002e-03
4.69	9.0636e-03
4.70	8.9603e-03
4.71	8.8243e-03
4.72	8.6575e-03
4.73	8.5252e-03
4.74	8.3936e-03
4.75	8.2647e-03
4.76	8.1369e-03
4.77	8.0425e-03
4.78	7.9181e-03
4.79	7.7959e-03
4.80	7.6427e-03
4.81	7.5233e-03
4.82	7.4349e-03
4.83	7.2879e-03
4.84	7.2020e-03
4.85	7.0582e-03
4.86	6.9750e-03
4.87	6.8634e-03
4.88	6.7252e-03
4.89	6.6444e-03
4.90	6.5366e-03
4.91	6.4312e-03
4.92	6.3256e-03
4.93	6.1798e-03
4.94	6.1731e-03
4.95	6.0059e-03
4.96	5.9117e-03
4.97	5.8128e-03
4.98	5.7145e-03
4.99	5.6177e-03
