# redshift	 global evolution factor
2.65	1.3624e-01
2.66	1.3499e-01
2.67	1.3373e-01
2.68	1.3251e-01
2.69	1.3126e-01
2.70	1.3006e-01
2.71	1.2883e-01
2.72	1.2765e-01
2.73	1.2646e-01
2.74	1.2528e-01
2.75	1.2412e-01
2.76	1.2298e-01
2.77	1.2183e-01
2.78	1.2070e-01
2.79	1.1958e-01
2.80	1.1847e-01
2.81	1.1736e-01
2.82	1.1628e-01
2.83	1.1520e-01
2.84	1.1413e-01
2.85	1.1307e-01
2.86	1.1203e-01
2.87	1.1101e-01
2.88	1.0998e-01
2.89	1.0895e-01
2.90	1.0793e-01
2.91	1.0693e-01
2.92	1.0595e-01
2.93	1.0495e-01
2.94	1.0398e-01
2.95	1.0303e-01
2.96	1.0206e-01
2.97	1.0111e-01
2.98	1.0019e-01
2.99	9.9254e-02
3.00	9.8337e-02
3.01	9.7436e-02
3.02	9.6550e-02
3.03	9.5643e-02
3.04	9.4764e-02
3.05	9.3910e-02
3.06	9.3046e-02
3.07	9.2193e-02
3.08	9.1363e-02
3.09	9.0544e-02
3.10	8.9726e-02
3.11	8.8914e-02
3.12	8.8114e-02
3.13	8.7300e-02
3.14	8.6534e-02
3.15	8.5741e-02
3.16	8.4961e-02
3.17	8.4227e-02
3.18	8.3466e-02
3.19	8.2722e-02
3.20	8.1976e-02
3.21	8.1249e-02
3.22	8.0533e-02
3.23	7.9824e-02
3.24	7.9122e-02
3.25	7.8414e-02
3.26	7.7734e-02
3.27	7.7041e-02
3.28	7.6366e-02
3.29	7.5692e-02
3.30	7.5025e-02
3.31	7.4363e-02
3.32	7.3719e-02
3.33	7.3066e-02
3.34	7.2455e-02
3.35	7.1826e-02
3.36	7.1199e-02
3.37	7.0576e-02
3.38	6.9948e-02
3.39	6.9345e-02
3.40	6.8760e-02
3.41	6.8169e-02
3.42	6.7573e-02
3.43	6.7008e-02
3.44	6.6456e-02
3.45	6.5861e-02
3.46	6.5301e-02
3.47	6.4740e-02
3.48	6.4200e-02
3.49	6.3643e-02
3.50	6.3098e-02
3.51	6.2551e-02
3.52	6.2038e-02
3.53	6.1512e-02
3.54	6.0989e-02
3.55	6.0469e-02
3.56	5.9970e-02
3.57	5.9464e-02
3.58	5.8962e-02
3.59	5.8470e-02
3.60	5.7977e-02
3.61	5.7517e-02
3.62	5.7027e-02
3.63	5.6537e-02
3.64	5.6057e-02
3.65	5.5593e-02
3.66	5.5138e-02
3.67	5.4666e-02
3.68	5.4221e-02
3.69	5.3768e-02
3.70	5.3324e-02
3.71	5.2889e-02
3.72	5.2456e-02
3.73	5.2017e-02
3.74	5.1593e-02
3.75	5.1168e-02
3.76	5.0756e-02
3.77	5.0329e-02
3.78	4.9928e-02
3.79	4.9498e-02
3.80	4.9101e-02
3.81	4.8690e-02
3.82	4.8298e-02
3.83	4.7916e-02
3.84	4.7525e-02
3.85	4.7138e-02
3.86	4.6768e-02
3.87	4.6381e-02
3.88	4.6003e-02
3.89	4.5632e-02
3.90	4.5265e-02
3.91	4.4899e-02
3.92	4.4528e-02
3.93	4.4167e-02
3.94	4.3802e-02
3.95	4.3450e-02
3.96	4.3119e-02
3.97	4.2773e-02
3.98	4.2424e-02
3.99	4.2084e-02
4.00	4.1739e-02
4.01	4.1416e-02
4.02	4.1072e-02
4.03	4.0749e-02
4.04	4.0424e-02
4.05	4.0103e-02
4.06	3.9803e-02
4.07	3.9463e-02
4.08	3.9169e-02
4.09	3.8846e-02
4.10	3.8539e-02
4.11	3.8241e-02
4.12	3.7921e-02
4.13	3.7622e-02
4.14	3.7331e-02
4.15	3.7033e-02
4.16	3.6748e-02
4.17	3.6453e-02
4.18	3.6152e-02
4.19	3.5873e-02
4.20	3.5590e-02
4.21	3.5325e-02
4.22	3.5049e-02
4.23	3.4758e-02
4.24	3.4492e-02
4.25	3.4227e-02
4.26	3.3960e-02
4.27	3.3696e-02
4.28	3.3421e-02
4.29	3.3170e-02
4.30	3.2905e-02
4.31	3.2656e-02
4.32	3.2396e-02
4.33	3.2149e-02
4.34	3.1908e-02
4.35	3.1634e-02
4.36	3.1382e-02
4.37	3.1149e-02
4.38	3.0902e-02
4.39	3.0662e-02
4.40	3.0433e-02
4.41	3.0198e-02
4.42	2.9952e-02
4.43	2.9720e-02
4.44	2.9491e-02
4.45	2.9271e-02
4.46	2.9044e-02
4.47	2.8821e-02
4.48	2.8594e-02
4.49	2.8378e-02
4.50	2.8153e-02
4.51	2.7946e-02
4.52	2.7720e-02
4.53	2.7507e-02
4.54	2.7288e-02
4.55	2.7079e-02
4.56	2.6875e-02
4.57	2.6669e-02
4.58	2.6458e-02
4.59	2.6263e-02
4.60	2.6057e-02
4.61	2.5853e-02
4.62	2.5646e-02
4.63	2.5459e-02
4.64	2.5262e-02
4.65	2.5062e-02
4.66	2.4877e-02
4.67	2.4680e-02
4.68	2.4486e-02
4.69	2.4306e-02
4.70	2.4114e-02
4.71	2.3933e-02
4.72	2.3749e-02
4.73	2.3563e-02
