# redshift	 global evolution factor
2.65	1.0561e-01
2.66	1.0431e-01
2.67	1.0303e-01
2.68	1.0175e-01
2.69	1.0048e-01
2.70	9.9224e-02
2.71	9.8013e-02
2.72	9.6784e-02
2.73	9.5551e-02
2.74	9.4348e-02
2.75	9.3178e-02
2.76	9.2002e-02
2.77	9.0799e-02
2.78	8.9653e-02
2.79	8.8515e-02
2.80	8.7382e-02
2.81	8.6222e-02
2.82	8.5157e-02
2.83	8.4046e-02
2.84	8.2935e-02
2.85	8.1851e-02
2.86	8.0751e-02
2.87	7.9739e-02
2.88	7.8668e-02
2.89	7.7636e-02
2.90	7.6580e-02
2.91	7.5540e-02
2.92	7.4525e-02
2.93	7.3513e-02
2.94	7.2503e-02
2.95	7.1527e-02
2.96	7.0519e-02
2.97	6.9546e-02
2.98	6.8582e-02
2.99	6.7625e-02
3.00	6.6706e-02
3.01	6.5800e-02
3.02	6.4889e-02
3.03	6.3971e-02
3.04	6.3132e-02
3.05	6.2269e-02
3.06	6.1405e-02
3.07	6.0586e-02
3.08	5.9735e-02
3.09	5.8961e-02
3.10	5.8151e-02
3.11	5.7390e-02
3.12	5.6580e-02
3.13	5.5863e-02
3.14	5.5076e-02
3.15	5.4385e-02
3.16	5.3623e-02
3.17	5.2934e-02
3.18	5.2212e-02
3.19	5.1532e-02
3.20	5.0855e-02
3.21	5.0186e-02
3.22	4.9537e-02
3.23	4.8869e-02
3.24	4.8241e-02
3.25	4.7609e-02
3.26	4.6978e-02
3.27	4.6393e-02
3.28	4.5761e-02
3.29	4.5171e-02
3.30	4.4604e-02
3.31	4.4025e-02
3.32	4.3447e-02
3.33	4.2902e-02
3.34	4.2352e-02
3.35	4.1810e-02
3.36	4.1274e-02
3.37	4.0746e-02
3.38	4.0229e-02
3.39	3.9715e-02
3.40	3.9218e-02
3.41	3.8723e-02
3.42	3.8233e-02
3.43	3.7750e-02
3.44	3.7277e-02
3.45	3.6810e-02
3.46	3.6350e-02
3.47	3.5897e-02
3.48	3.5450e-02
3.49	3.5010e-02
3.50	3.4570e-02
3.51	3.4143e-02
3.52	3.3720e-02
3.53	3.3305e-02
3.54	3.2893e-02
3.55	3.2491e-02
3.56	3.2090e-02
3.57	3.1701e-02
3.58	3.1311e-02
3.59	3.0926e-02
3.60	3.0551e-02
3.61	3.0178e-02
3.62	2.9814e-02
3.63	2.9453e-02
3.64	2.9096e-02
3.65	2.8740e-02
3.66	2.8400e-02
3.67	2.8056e-02
3.68	2.7718e-02
3.69	2.7386e-02
3.70	2.7058e-02
3.71	2.6735e-02
3.72	2.6416e-02
3.73	2.6101e-02
3.74	2.5790e-02
3.75	2.5483e-02
3.76	2.5184e-02
3.77	2.4883e-02
3.78	2.4591e-02
3.79	2.4301e-02
3.80	2.4016e-02
3.81	2.3736e-02
3.82	2.3458e-02
3.83	2.3180e-02
3.84	2.2910e-02
3.85	2.2643e-02
3.86	2.2378e-02
3.87	2.2117e-02
3.88	2.1861e-02
3.89	2.1607e-02
3.90	2.1356e-02
3.91	2.1113e-02
3.92	2.0866e-02
3.93	2.0625e-02
3.94	2.0390e-02
3.95	2.0155e-02
3.96	1.9925e-02
3.97	1.9695e-02
3.98	1.9471e-02
3.99	1.9248e-02
4.00	1.9031e-02
4.01	1.8811e-02
4.02	1.8600e-02
4.03	1.8388e-02
4.04	1.8181e-02
4.05	1.7970e-02
4.06	1.7770e-02
4.07	1.7571e-02
4.08	1.7375e-02
4.09	1.7176e-02
4.10	1.6983e-02
4.11	1.6794e-02
4.12	1.6605e-02
4.13	1.6422e-02
4.14	1.6235e-02
4.15	1.6055e-02
4.16	1.5877e-02
4.17	1.5700e-02
4.18	1.5526e-02
4.19	1.5353e-02
4.20	1.5186e-02
4.21	1.5016e-02
4.22	1.4851e-02
4.23	1.4686e-02
4.24	1.4524e-02
4.25	1.4367e-02
4.26	1.4208e-02
4.27	1.4050e-02
4.28	1.3899e-02
4.29	1.3746e-02
4.30	1.3594e-02
4.31	1.3447e-02
4.32	1.3302e-02
