#Wavelength (ang), flux at z=0.0,0.015,0.025,0.044,0.05,0.2,0.4,0.5,0.6,0.8,1.0,1.25,1.5,2.0,2.5,3.0,4.0,5.0,6.0,7.0
       100.00000   2.3148916e-15   2.1675020e-15       0.0000000   3.3869749e-15       0.0000000       0.0000000       0.0000000   5.4945753e-15       0.0000000       0.0000000   1.1475798e-14       0.0000000   1.1586709e-14   1.9732054e-14       0.0000000   6.2850610e-15   3.6063146e-15       0.0000000   3.2958492e-16   7.9135868e-09
       115.08004   4.1644984e-13   4.2526334e-13   4.3819678e-13   4.5774483e-13   4.5628778e-13   6.0019625e-13   9.4964676e-13   1.1393216e-12   1.4049647e-12   2.1218740e-12   2.6974055e-12   3.0797075e-12   4.0688785e-12   5.0813364e-12   3.0266451e-12   2.5414396e-12   1.7116104e-12   5.5258203e-13   3.0266095e-13   5.9754879e-09
       132.43415   7.8615483e-13   8.0633342e-13   8.3458274e-13   8.8684273e-13   8.9339038e-13   1.2435324e-12   1.9210748e-12   2.3482935e-12   2.8885483e-12   3.9958244e-12   4.8712183e-12   6.0144624e-12   7.5942992e-12   7.4827897e-12   4.8583712e-12   4.0337826e-12   2.4215791e-12   8.0875750e-13   3.6138073e-13   4.5120445e-09
       152.75661   1.4250358e-12   1.4560174e-12   1.5001078e-12   1.5863187e-12   1.5980397e-12   2.2462524e-12   3.3543746e-12   3.9971452e-12   4.7304522e-12   6.2508791e-12   7.6688915e-12   8.9224636e-12   1.0207365e-11   9.6285641e-12   6.4479914e-12   5.2405200e-12   3.0390002e-12   9.8024310e-13   4.4015772e-13   3.3913559e-09
       175.79236   2.2674027e-12   2.3149863e-12   2.3811723e-12   2.5124431e-12   2.5347756e-12   3.5288696e-12   4.9986376e-12   5.8274040e-12   6.7991025e-12   8.8307653e-12   1.0319655e-11   1.1428275e-11   1.2620479e-11   1.1605597e-11   7.9545030e-12   6.4099867e-12   3.7286690e-12   1.2250307e-12   5.7530763e-13   2.5607865e-09
       202.30192   3.1301528e-12   3.1888025e-12   3.2757565e-12   3.4467526e-12   3.4781328e-12   4.7706279e-12   6.6096509e-12   7.6970644e-12   8.8764167e-12   1.1102399e-11   1.2679695e-11   1.3803447e-11   1.4995187e-11   1.3874007e-11   9.8819980e-12   8.0790081e-12   5.0006551e-12   1.7338205e-12   8.9921485e-13   1.9336300e-09
       232.80913   6.7953088e-12   6.9459521e-12   7.1142999e-12   7.5403326e-12   7.5634234e-12   1.0759439e-11   1.6407404e-11   1.9755073e-11   2.3113471e-11   3.0777134e-11   3.8071383e-11   4.3789093e-11   5.0276396e-11   5.5185499e-11   5.0596384e-11   4.8438904e-11   4.3898547e-11   2.0115863e-11   2.4938470e-11   1.4600690e-09
       268.53445   2.1578868e-11   2.2108717e-11   2.2763753e-11   2.4268955e-11   2.4423367e-11   3.7606285e-11   6.3802129e-11   7.9949073e-11   9.6384349e-11   1.3465700e-10   1.7283042e-10   2.1130634e-10   2.4743259e-10   2.8864837e-10   3.0643672e-10   2.9919793e-10   2.8603940e-10   1.4190901e-10   1.3296237e-10   1.0974213e-09
       309.02954   4.0650983e-11   4.1559658e-11   4.2892012e-11   4.5739557e-11   4.6351700e-11   7.4625508e-11   1.2821948e-10   1.6012152e-10   1.9447726e-10   2.7054083e-10   3.4367577e-10   4.2042358e-10   4.8475167e-10   5.8150539e-10   6.1135047e-10   6.0074557e-10   5.3184159e-10   2.9102737e-10   1.8585168e-10   8.2865427e-10
       355.63132   5.9293559e-11   6.0679443e-11   6.2791793e-11   6.7205726e-11   6.8188492e-11   1.1014928e-10   1.8754303e-10   2.3377306e-10   2.8310058e-10   3.9088993e-10   4.9493913e-10   6.0322409e-10   7.0275809e-10   8.5042488e-10   9.1095829e-10   8.8866082e-10   7.6565959e-10   4.5227379e-10   3.7753436e-10   6.2571040e-10
       409.26066   8.1972229e-11   8.3859892e-11   8.6819464e-11   9.2941856e-11   9.4402948e-11   1.5173552e-10   2.5690006e-10   3.1983292e-10   3.8805483e-10   5.3587894e-10   6.8035519e-10   8.4367325e-10   9.9232847e-10   1.2291471e-09   1.3267061e-09   1.2909018e-09   1.1385082e-09   7.7047261e-10   6.3060879e-10   4.7246906e-10
