	0.000	0.050	0.100	0.150	0.200	0.250	0.300	0.350	0.400	0.450	0.500	0.550	0.600	0.650	0.700	0.750	0.800	0.850	0.900	0.950	1.000	1.050	1.100	1.150	1.200	1.250	1.300	1.350	1.400	1.450	1.500	1.550	1.600	1.650	1.700	1.750	1.800	1.850	1.900	1.950	2.000	2.050	2.100	2.150	2.200	2.250	2.300	2.350	2.400	2.450	2.500	2.550	2.600	2.650	2.700	2.750	2.800	2.850	2.900	2.950	3.000	3.050	3.100	3.150	3.200	3.250	3.300	3.350	3.400	3.450	3.500	3.550	3.600	3.650	3.700	3.750	3.800	3.850	3.900	3.950	4.000	4.050	4.100	4.150	4.200	4.250	4.300	4.350	4.400	4.450	4.500	4.550	4.600	4.650	4.700	4.750	4.800	4.850	4.900	4.950	5.000
1.58489	0.00229108	0.00256328	0.00284689	0.00313852	0.00343407	0.00372864	0.00401661	0.00429131	0.00454662	0.00478058	0.00499433	0.00518888	0.00536605	0.00552778	0.00567549	0.00581186	0.00593987	0.00606257	0.00618369	0.00630576	0.00642611	0.00653843	0.00663895	0.00672451	0.00679273	0.00684276	0.00688095	0.00691052	0.00693248	0.0069476	0.00695642	0.00695924	0.00695571	0.00694545	0.00692877	0.00690599	0.00687746	0.00684356	0.00680473	0.00676149	0.00671439	0.00666398	0.00661084	0.00655554	0.00649866	0.00644078	0.00638225	0.00632339	0.00626466	0.00620654	0.00614953	0.00609417	0.00604102	0.00599071	0.00594371	0.0059004	0.0058611	0.00582576	0.0057929	0.00576214	0.00573324	0.00570588	0.00567971	0.00565437	0.00562944	0.00560449	0.00557902	0.00555253	0.00552445	0.00549416	0.00546101	0.00542426	0.00538313	0.00533672	0.00528402	0.00522391	0.00515507	0.00507963	0.00500295	0.00492534	0.00484688	0.00476768	0.00468783	0.00460743	0.00452659	0.00444542	0.00436401	0.00428245	0.00420081	0.00411915	0.00403754	0.00395602	0.00387466	0.00379349	0.00371255	0.00363186	0.00355145	0.00347134	0.00339154	0.00331207	0.00323293	
1.62181	0.00222641	0.00249234	0.0027696	0.00305495	0.00334439	0.00363319	0.00391587	0.00418594	0.00443737	0.00466817	0.00487932	0.00507168	0.00524692	0.00540674	0.00555242	0.0056865	0.00581188	0.00593167	0.00604959	0.00616824	0.00628504	0.00639385	0.006491	0.00657349	0.00663914	0.00668735	0.00672447	0.00675369	0.00677605	0.00679232	0.00680306	0.00680855	0.00680838	0.006802	0.00678954	0.00677118	0.00674721	0.006718	0.00668396	0.00664548	0.006603	0.00655699	0.00650798	0.00645655	0.0064033	0.00634886	0.00629356	0.00623775	0.00618189	0.00612643	0.00607179	0.0060184	0.00596665	0.00591697	0.00586979	0.00582555	0.00578475	0.00574756	0.00571273	0.00567999	0.00564908	0.0056197	0.00559151	0.00556417	0.00553727	0.00551038	0.00548303	0.00545469	0.0054248	0.00539277	0.00535793	0.00531957	0.00527692	0.00522911	0.0051752	0.00511414	0.00504474	0.00496913	0.00489259	0.00481546	0.00473783	0.00465975	0.00458128	0.00450247	0.00442338	0.00434407	0.00426456	0.00418491	0.00410516	0.00402538	0.00394563	0.00386597	0.00378646	0.00370714	0.00362804	0.00354919	0.00347061	0.00339232	0.00331434	0.00323668	0.00315934	
1.65959	0.00216074	0.00242033	0.00269113	0.00296999	0.00325305	0.00353574	0.00381273	0.00407771	0.00432484	0.00455217	0.00476064	0.00495102	0.0051248	0.00528355	0.00542836	0.00556157	0.00568589	0.0058042	0.00592013	0.00603623	0.00615011	0.00625591	0.00635009	0.00642978	0.00649289	0.0065388	0.00657382	0.00660124	0.00662228	0.00663786	0.00664857	0.00665474	0.00665597	0.00665177	0.00664228	0.00662763	0.00660797	0.00658348	0.00655437	0.00652096	0.00648364	0.00644287	0.00639913	0.00635287	0.00630459	0.0062548	0.00620384	0.00615207	0.00609998	0.00604802	0.00599666	0.00594631	0.00589739	0.0058503	0.00580541	0.00576308	0.00572366	0.00568714	0.00565215	0.00561846	0.00558594	0.0055545	0.00552407	0.00549445	0.0054653	0.00543617	0.00540661	0.00537612	0.00534417	0.00531016	0.00527345	0.00523333	0.00518904	0.00513972	0.00508445	0.0050222	0.00495179	0.0048753	0.0047979	0.00471994	0.00464155	0.00456286	0.00448399	0.00440507	0.00432618	0.00424739	0.00416873	0.00409021	0.00401184	0.00393364	0.00385562	0.00377779	0.00370014	0.00362268	0.00354543	0.00346839	0.00339161	0.0033151	0.0032389	0.003163	0.00308742	
1.69824	0.00209391	0.00234723	0.00261156	0.00288386	0.0031604	0.00343676	0.00370777	0.0039673	0.00420967	0.00443302	0.00463831	0.0048263	0.00499844	0.00515618	0.00530049	0.00543353	0.0055578	0.00567601	0.00579152	0.00590671	0.00601915	0.00612308	0.00621513	0.00629263	0.00635365	0.00639766	0.00643085	0.00645649	0.00647574	0.00648959	0.00649879	0.00650388	0.00650463	0.00650063	0.00649204	0.00647903	0.00646176	0.00644043	0.00641524	0.0063864	0.00635414	0.0063187	0.00628041	0.00623966	0.00619694	0.00615275	0.00610734	0.00606096	0.00601398	0.00596679	0.00591984	0.00587355	0.00582838	0.00578473	0.00574302	0.0057036	0.00566684	0.00563272	0.00559988	0.00556802	0.00553693	0.00550633	0.00547599	0.00544564	0.00541501	0.00538386	0.00535197	0.00531908	0.00528477	0.0052485	0.0052096	0.00516739	0.00512115	0.00507004	0.00501317	0.00494951	0.00487792	0.00480041	0.00472203	0.00464311	0.00456377	0.00448415	0.00440434	0.00432447	0.00424464	0.00416493	0.00408545	0.00400626	0.00392747	0.00384913	0.00377129	0.00369396	0.00361712	0.00354075	0.00346481	0.00338929	0.00331418	0.00323943	0.00316502	0.00309091	0.00301711	
1.7378	0.00202565	0.00227276	0.00253073	0.00279654	0.00306657	0.0033365	0.00360136	0.00385519	0.00409248	0.00431145	0.00451306	0.00469811	0.00486804	0.00502429	0.0051678	0.00530062	0.00542511	0.00554376	0.00565976	0.00577529	0.00588783	0.0059916	0.00608319	0.00615992	0.00621994	0.00626281	0.00629476	0.00631905	0.0063369	0.0063493	0.00635703	0.00636059	0.00635983	0.00635453	0.00634507	0.00633177	0.00631486	0.00629459	0.00627118	0.00624483	0.0062158	0.00618435	0.00615074	0.00611521	0.00607806	0.00603958	0.00599992	0.00595932	0.00591813	0.00587672	0.00583544	0.00579461	0.00575457	0.00571566	0.00567828	0.00564282	0.00560966	0.00557882	0.005549	0.00551993	0.00549141	0.0054632	0.00543502	0.00540658	0.00537753	0.00534749	0.00531607	0.00528287	0.00524748	0.00520948	0.00516843	0.00512395	0.00507548	0.00502229	0.00496349	0.00489809	0.00482496	0.0047461	0.00466643	0.00458628	0.00450578	0.00442503	0.00434414	0.0042632	0.00418231	0.00410155	0.00402102	0.00394078	0.00386091	0.00378147	0.00370254	0.00362416	0.00354638	0.00346924	0.00339282	0.00331711	0.00324211	0.00316781	0.00309415	0.00302105	0.00294848	
1.77828	0.00195587	0.0021967	0.00244833	0.00270776	0.00297138	0.00323497	0.00349366	0.00374167	0.00397368	0.00418799	0.00438556	0.00456722	0.00473442	0.00488858	0.00503067	0.00516272	0.00528702	0.00540598	0.00552261	0.00563892	0.00575232	0.00585704	0.00594962	0.00602728	0.00608806	0.00613147	0.00616353	0.00618748	0.00620466	0.00621617	0.00622285	0.00622525	0.00622328	0.00621673	0.00620597	0.00619137	0.00617334	0.00615233	0.00612872	0.00610282	0.00607491	0.00604526	0.00601413	0.0059818	0.00594857	0.00591472	0.00588028	0.00584532	0.00581	0.00577451	0.00573915	0.00570421	0.00567004	0.00563695	0.00560524	0.00557516	0.00554701	0.00552077	0.00549516	0.00546994	0.00544495	0.00542001	0.00539487	0.00536925	0.00534283	0.00531526	0.00528615	0.00525506	0.00522153	0.00518502	0.00514498	0.00510083	0.00505193	0.00499764	0.00493724	0.00487	0.0047951	0.00471458	0.00463332	0.00455162	0.00446959	0.00438736	0.00430504	0.00422272	0.0041405	0.00405846	0.00397667	0.00389521	0.00381414	0.00373351	0.00365337	0.00357378	0.00349478	0.00341642	0.00333873	0.00326174	0.00318548	0.00310997	0.00303523	0.00296129	0.00288815	
1.8197	0.00188501	0.00211913	0.00236422	0.00261722	0.0028745	0.00313186	0.00338451	0.00362677	0.00385345	0.00406295	0.00425626	0.00443422	0.00459828	0.00474989	0.00489001	0.00502066	0.00514412	0.00526277	0.00537955	0.00549639	0.00561069	0.00571669	0.00581088	0.00589042	0.00595327	0.00599881	0.00603277	0.00605821	0.00607634	0.00608824	0.00609482	0.00609677	0.00609412	0.00608674	0.00607505	0.00605945	0.00604036	0.00601822	0.00599344	0.00596649	0.00593788	0.00590805	0.00587734	0.00584607	0.00581456	0.00578308	0.0057517	0.0057205	0.00568963	0.00565924	0.00562946	0.00560042	0.00557224	0.00554513	0.00551935	0.00549515	0.00547284	0.00545234	0.00543231	0.00541241	0.0053924	0.00537206	0.00535114	0.00532942	0.00530662	0.00528242	0.00525647	0.00522838	0.00519768	0.00516389	0.00512646	0.00508479	0.00503822	0.004986	0.00492731	0.00486129	0.00478694	0.00470626	0.0046241	0.00454096	0.00445725	0.00437326	0.0042892	0.00420521	0.00412132	0.00403764	0.00395425	0.00387122	0.00378863	0.00370652	0.00362494	0.00354395	0.00346357	0.00338383	0.00330477	0.00322641	0.00314877	0.00307187	0.00299573	0.00292035	0.00284575	
1.86209	0.00181387	0.00204074	0.00227875	0.00252496	0.00277574	0.00302688	0.00327357	0.0035102	0.00373167	0.00393639	0.00412535	0.00429944	0.00446011	0.00460883	0.00474656	0.00487531	0.00499736	0.00511505	0.0052313	0.00534801	0.00546266	0.0055696	0.00566532	0.00574695	0.00581237	0.00586083	0.00589781	0.00592621	0.00594704	0.00596122	0.00596953	0.0059726	0.00597048	0.00596317	0.00595122	0.00593513	0.0059154	0.00589247	0.00586682	0.00583893	0.00580927	0.0057783	0.00574653	0.00571453	0.00568274	0.00565155	0.00562108	0.00559142	0.00556274	0.00553518	0.00550891	0.00548406	0.00546074	0.00543904	0.00541903	0.0054008	0.00538446	0.00536988	0.00535574	0.00534171	0.00532757	0.00531303	0.00529776	0.00528143	0.00526369	0.0052442	0.00522263	0.00519861	0.00517174	0.00514158	0.00510761	0.00506928	0.00502594	0.00497689	0.00492134	0.00485841	0.00478709	0.00470927	0.00462956	0.00454832	0.00446575	0.00438205	0.00429746	0.00421222	0.00412664	0.00404111	0.00395582	0.00387094	0.00378653	0.0037026	0.00361923	0.00353647	0.00345436	0.00337293	0.00329222	0.00321225	0.00313303	0.00305457	0.00297687	0.00289995	0.00282381	
1.90546	0.0017431	0.00196237	0.00219277	0.00243157	0.00267535	0.00291995	0.00316057	0.00339161	0.00360796	0.00380802	0.00399275	0.00416297	0.00432014	0.00446576	0.00460082	0.00472733	0.00484752	0.00496374	0.00507887	0.00519482	0.00530911	0.00541628	0.00551291	0.00559618	0.00566396	0.00571544	0.00575584	0.00578785	0.00581234	0.00583011	0.0058418	0.00584784	0.00584819	0.00584275	0.00583204	0.00581662	0.00579707	0.00577402	0.00574801	0.00571956	0.00568919	0.0056574	0.00562471	0.00559163	0.00555866	0.00552631	0.00549495	0.00546485	0.00543625	0.00540938	0.00538442	0.00536149	0.0053407	0.00532218	0.00530603	0.00529232	0.00528109	0.00527207	0.0052638	0.00525578	0.00524765	0.0052391	0.00522982	0.00521949	0.00520777	0.00519425	0.0051785	0.00516006	0.00513847	0.00511327	0.00508398	0.00505007	0.00501096	0.00496599	0.00491442	0.00485542	0.004788	0.00471402	0.00463801	0.00456033	0.0044811	0.00440048	0.0043186	0.00423557	0.00415157	0.00406676	0.00398132	0.00389547	0.00380946	0.0037236	0.00363819	0.00355337	0.00346926	0.00338584	0.00330314	0.0032212	0.00314004	0.00305967	0.00298011	0.00290136	0.00282342	
