# EMTripletPairProduction cumulative differential rate
# photon field: cosmic infrared and optical background radiation model of Gilmore et al. 2012 (Evolving dust model, arXiv:1104.0671)
# log10(E/eV), d(1/lambda)/ds_kin [1/Mpc/eV^2] for log10(s_kin/eV^2) as given in first row
0.00	12.6	12.7	12.8	12.9	13	13.1	13.2	13.3	13.4	13.5	13.6	13.7	13.8	13.9	14	14.1	14.2	14.3	14.4	14.5	14.6	14.7	14.8	14.9	15	15.1	15.2	15.3	15.4	15.5	15.6	15.7	15.8	15.9	16	16.1	16.2	16.3	16.4	16.5	16.6	16.7	16.8	16.9	17	17.1	17.2	17.3	17.4	17.5	17.6	17.7	17.8	17.9	18	18.1	18.2	18.3	18.4	18.5	18.6	18.7	18.8	18.9	19	19.1	19.2	19.3	19.4	19.5	19.6	19.7	19.8	19.9	20	20.1	20.2	20.3	20.4	20.5	20.6	20.7	20.8	20.9	21	21.1	21.2	21.3	21.4	21.5	21.6	21.7	21.8	21.9	22	22.1	22.2	22.3	22.4	22.5	22.6	22.7	22.8	22.9	23
10.00	4.11046e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15	8.5861e-15
10.05	8.90422e-15	2.76705e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14	2.83715e-14
10.10	1.74029e-14	6.16652e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14	7.57743e-14
10.15	3.08717e-14	1.22065e-13	1.74675e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13	1.76075e-13
10.20	5.71621e-14	2.26994e-13	3.48754e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13	3.75905e-13
10.25	1.3779e-13	4.43394e-13	6.91486e-13	7.88683e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13	7.90911e-13
10.30	3.97149e-13	1.03928e-12	1.49643e-12	1.71983e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12	1.76225e-12
10.35	9.2867e-13	2.65649e-12	3.48518e-12	3.93841e-12	4.0872e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12	4.09034e-12
10.40	1.78581e-12	6.25584e-12	8.04462e-12	8.87633e-12	9.21711e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12	9.27624e-12
