# IRB spectrum at z=4 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.0101108	0.1
0.101108	0.101664
0.111647	0.164079
0.120598	0.239844
0.128839	0.333655
0.139168	0.406742
0.165995	0.406742
0.213867	0.36236
0.255093	0.312337
0.307637	0.264813
0.347272	0.252019
0.437672	0.247894
0.53367	0.256214
0.650724	0.239844
0.759246	0.235917
0.925779	0.264813
1.1797	0.287595
1.64177	0.32282
1.77339	0.317535
2.04647	0.273701
2.44096	0.213673
2.87959	0.164079
3.14491	0.139113
3.62918	0.16681
4.28133	0.206734
4.9406	0.256214
5.63892	0.32282
6.72591	0.36236
7.67657	0.380755
9.15635	0.356428
11.4134	0.292381
13.7644	0.247894
17.7339	0.239844
23.1013	0.26922
28.4804	0.278256
31.7975	0.287595
35.1119	0.400083
40.0747	0.565833
45.2379	0.813569
51.0663	1.24961
55.1603	1.68192
63.6543	2.30148
73.4562	2.89978
83.8388	3.0977
96.7489	3.14926
114.134	2.58337
133.169	2.11917
153.675	1.4984
181.29	0.991781
206.914	0.645708
241.421	0.400083
272.525	0.256214
304.266	0.16681
351.119	0.101664
989.043	0.0983629
