# IRB spectrum at z=3 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.01	0.0994467
0.0956888	0.0999894
0.1	0.173203
0.106834	0.241658
0.116677	0.385215
0.130266	0.634872
0.134644	0.737533
0.153675	0.828938
0.177339	0.916316
0.218632	0.843567
0.263665	0.726533
0.321497	0.636256
0.371003	0.636475
0.447422	0.64745
0.527823	0.703921
0.602427	0.7402
0.759246	0.704538
0.946404	0.753444
1.1797	0.779362
1.43845	0.833417
1.73474	0.862018
2.00187	0.742345
2.25978	0.683263
2.60776	0.523691
2.94374	0.421916
3.32301	0.388337
3.96357	0.401653
4.52379	0.459008
5.27823	0.551442
6.29569	0.651589
7.427	0.744694
8.85867	0.77023
10.5663	0.720923
12.8839	0.60059
17.7339	0.517431
23.616	0.526479
30.7637	0.572536
35.1119	0.735148
39.2014	0.975846
41.8803	1.15276
44.7422	1.45551
48.8647	1.96438
52.2039	2.48028
55.7714	3.23767
63.6543	4.08861
71.0681	5.24958
82.0117	5.90034
97.8207	6.52281
116.677	5.61771
136.135	4.52631
158.839	3.41204
183.298	2.36662
211.524	1.58776
238.776	1.06516
278.597	0.636036
325.059	0.349464
371.003	0.226772
414.214	0.137669
452.379	0.102049
1000	0.100556
