# IRB spectrum at z=0.2 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.00985395	0.1
0.099995	0.0984353
0.102355	0.14601
0.105923	0.209854
0.112089	0.326361
0.117307	0.499609
0.122731	0.69577
0.12847	1.13447
0.132901	1.4601
0.14532	2.03338
0.158908	2.87676
0.171851	4.00627
0.191997	4.69065
0.224162	5.32142
0.247655	5.94255
0.292235	5.94255
0.360437	6.13298
0.434854	6.32951
0.513441	7.64824
0.619853	9.6895
0.808412	12.2756
1.07753	14.1477
1.32921	15.3085
1.79064	15.5518
2.18354	14.3726
2.63277	12.2756
3.10434	9.6895
3.66001	7.41076
4.50919	5.40601
5.55624	4.13465
6.69967	3.58752
7.73194	3.42174
9.53837	3.76134
12.2972	4.06995
14.039	4.13465
17.3111	3.94358
21.3405	3.47613
27.8015	3.1128
32.4394	2.92249
37.4451	2.96895
45.1943	3.47613
50.5076	4.47389
56.4399	5.57924
62.3863	7.29481
68.9662	9.84353
73.7352	12.0835
85.1733	15.3085
94.1327	19.0907
107.515	22.3519
131.185	24.9609
169.043	23.0682
203.8	19.0907
240.316	15.3085
274.161	12.4707
326.74	8.81466
376.703	6.13298
443.93	4.06995
540.492	2.30682
629.928	1.50689
717.957	0.909712
836.422	0.523815
963.886	0.316228
