# IRB spectrum at z=0.6 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.01	0.1
0.0989043	0.0984246
0.1	0.263445
0.104505	0.431005
0.111647	0.727895
0.120598	1.39581
0.133169	3.34301
0.157099	4.44914
0.175396	5.73615
0.223502	6.83098
0.311045	6.30957
0.383471	6.21017
0.432876	6.41057
0.53367	8.26497
0.695193	10
0.967489	11.3546
1.30266	12.2929
1.75396	11.9086
2.23502	10.1601
2.94374	7.05141
3.71003	4.97224
4.52379	3.91835
5.89298	3.45089
8.20117	3.79586
11.0424	4.0448
16.2378	3.6772
21.3867	3.23851
31.1045	2.8978
40.5187	3.85662
52.2039	8.0066
65.0724	14.4086
73.4562	19.7948
86.6561	24.3336
101.108	27.6299
127.427	27.6299
153.675	23.9503
195.824	17.4333
231.013	13.0991
284.804	8.13476
343.467	4.97224
400.747	3.0392
467.581	1.88739
557.714	1.06558
665.222	0.538313
820.117	0.243336
956.888	0.130991
