# IRB spectrum at z=1 from Kneiske et al. 2004 (astro-ph/0309141)
# lambda [micrometer]	lambda I_lambda [nW/m^2/sr]
0.0101483	0.0984299
0.0905746	0.1
0.0945105	0.158239
0.0954499	0.224138
0.0963792	0.338228
0.0983741	0.543745
0.099387	0.689426
0.103722	1.04036
0.113137	1.47362
0.121995	2.44521
0.132982	4.25467
0.156758	4.98419
0.182782	5.65688
0.217955	5.65688
0.268684	5.22653
0.310065	4.82891
0.382097	4.98419
0.431177	5.22653
0.52532	6.12268
0.647195	6.83993
0.833336	7.2869
1.04961	7.88692
1.36665	8.01272
1.74099	7.76309
2.12336	6.52278
2.42432	5.48064
2.86151	4.25467
3.64826	3.20003
4.96664	2.73166
6.46616	2.86447
8.99049	3.25108
11.0813	3.14979
15.2488	2.91016
19.0077	2.605
27.3314	2.44521
31.8832	2.40682
37.152	3.35562
41.8987	4.25467
46.2076	6.02655
51.5257	8.40231
58.0827	12.2842
64.7839	15.8239
77.1764	21.3745
95.0718	24.6463
121.138	22.4138
146.119	19.1332
174.404	14.1645
217.582	9.68845
251.359	6.42037
296.808	4.39149
350.599	2.68877
409.628	1.6204
452.825	1.09094
511.789	0.700424
578.431	0.449698
646.404	0.317481
714.822	0.191332
781.559	0.128815
844.796	0.1
985.441	0.1
