# EMDoublePairProduction cumulative differential rate
# photon field: URB_Protheroe96
# log10(E/eV), d(1/lambda)/ds_kin [1/Mpc/eV^2] for log10(s_kin/eV^2) as given in first row
0.00	12.7	12.8	12.9	13	13.1	13.2	13.3	13.4	13.5	13.6	13.7	13.8	13.9	14	14.1	14.2	14.3	14.4	14.5	14.6	14.7	14.8	14.9	15	15.1	15.2	15.3	15.4	15.5	15.6	15.7	15.8	15.9	16	16.1	16.2	16.3	16.4	16.5	16.6	16.7	16.8	16.9	17	17.1	17.2	17.3	17.4	17.5	17.6	17.7	17.8	17.9	18	18.1	18.2	18.3	18.4	18.5	18.6	18.7	18.8	18.9	19	19.1	19.2	19.3	19.4	19.5	19.6	19.7	19.8	19.9	20	20.1	20.2	20.3	20.4	20.5	20.6	20.7	20.8	20.9	21	21.1	21.2	21.3	21.4	21.5	21.6	21.7	21.8	21.9	22	22.1	22.2	22.3	22.4	22.5	22.6	22.7	22.8	22.9	23
17.75	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19	5.73597e-19
17.80	3.80401e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16	5.44153e-16
17.85	4.88074e-16	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14	1.74127e-14
17.90	6.25084e-16	1.46074e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13	1.71608e-13
17.95	7.99045e-16	1.87317e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13	9.26266e-13
18.00	1.01942e-15	2.39763e-13	3.16554e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12	3.47254e-12
18.05	1.29795e-15	3.06309e-13	4.05662e-12	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11	1.02083e-11
18.10	1.6491e-15	3.90551e-13	5.18887e-12	2.38025e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11	2.52467e-11
18.15	2.0917e-15	4.96943e-13	6.62432e-12	3.04778e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11	5.49177e-11
