# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	11.16	8.390889e-04	7.597764e-04
0.00	11.20	8.195068e-04	7.388274e-04
0.00	11.24	7.993878e-04	7.181266e-04
0.00	11.28	7.790653e-04	6.979247e-04
0.00	11.32	7.588199e-04	6.784097e-04
0.00	11.36	7.388797e-04	6.597058e-04
0.00	11.40	7.194570e-04	6.419261e-04
0.00	11.44	7.008191e-04	6.252485e-04
0.00	11.48	6.831895e-04	6.098181e-04
0.00	11.52	6.666753e-04	5.956715e-04
0.00	11.56	6.513032e-04	5.827673e-04
0.00	11.60	6.370483e-04	5.710246e-04
0.00	11.64	6.238536e-04	5.603432e-04
0.00	11.68	6.116573e-04	5.506253e-04
0.00	11.72	6.003960e-04	5.417798e-04
0.00	11.76	5.900045e-04	5.337214e-04
0.00	11.80	5.804633e-04	5.264143e-04
0.00	11.84	5.717424e-04	5.198232e-04
0.00	11.88	5.637716e-04	5.138842e-04
0.00	11.92	5.564904e-04	5.085332e-04
0.00	11.96	5.498578e-04	5.037150e-04
0.00	12.00	5.438227e-04	4.993798e-04
0.00	12.04	5.383292e-04	4.954815e-04
0.00	12.08	5.333273e-04	4.919811e-04
0.00	12.12	5.287759e-04	4.888479e-04
0.00	12.16	5.246387e-04	4.860546e-04
0.00	12.20	5.208821e-04	4.835758e-04
0.00	12.24	5.174753e-04	4.813872e-04
0.00	12.28	5.143914e-04	4.794678e-04
0.00	12.32	5.116072e-04	4.777994e-04
0.00	12.36	5.091021e-04	4.763654e-04
0.00	12.40	5.068585e-04	4.751518e-04
0.00	12.44	5.048606e-04	4.741458e-04
0.00	12.48	5.030938e-04	4.733352e-04
0.00	12.52	5.015449e-04	4.727092e-04
0.00	12.56	5.002018e-04	4.722576e-04
0.00	12.60	4.990522e-04	4.719695e-04
0.00	12.64	4.980848e-04	4.718355e-04
0.00	12.68	4.972895e-04	4.718465e-04
0.00	12.72	4.966563e-04	4.719939e-04
0.00	12.76	4.961758e-04	4.722693e-04
0.00	12.80	4.958393e-04	4.726649e-04
0.00	12.84	4.956381e-04	4.731729e-04
0.00	12.88	4.955639e-04	4.737860e-04
0.00	12.92	4.956110e-04	4.744992e-04
0.00	12.96	4.957713e-04	4.753051e-04
0.00	13.00	4.960395e-04	4.761995e-04
0.00	13.04	4.964112e-04	4.771779e-04
0.00	13.08	4.968797e-04	4.782349e-04
0.00	13.12	4.974432e-04	4.793690e-04
0.00	13.16	4.980964e-04	4.805755e-04
0.00	13.20	4.988384e-04	4.818549e-04
0.00	13.24	4.996717e-04	4.832094e-04
0.00	13.28	5.005935e-04	4.846373e-04
0.00	13.32	5.016158e-04	4.861518e-04
0.00	13.36	5.027416e-04	4.877550e-04
0.00	13.40	5.039711e-04	4.894481e-04
0.00	13.44	5.053085e-04	4.912352e-04
0.00	13.48	5.067522e-04	4.931151e-04
0.00	13.52	5.083071e-04	4.950938e-04
0.00	13.56	5.099749e-04	4.971725e-04
0.00	13.60	5.117525e-04	4.993481e-04
0.00	13.64	5.136359e-04	5.016172e-04
0.00	13.68	5.156226e-04	5.039777e-04
0.00	13.72	5.177040e-04	5.064201e-04
0.00	13.76	5.198723e-04	5.089386e-04
0.00	13.80	5.221241e-04	5.115286e-04
0.00	13.84	5.244410e-04	5.141720e-04
0.00	13.88	5.268162e-04	5.168637e-04
0.00	13.92	5.292416e-04	5.195944e-04
0.00	13.96	5.317034e-04	5.223516e-04
0.00	14.00	5.341945e-04	5.251284e-04
0.00	14.04	5.367087e-04	5.279191e-04
0.00	14.08	5.392384e-04	5.307164e-04
