1e+23  26.3706 38.2217  117.282 0.0247583
9.77237e+22  25.9202 37.4308  120.142 0.0245173
9.54993e+22  25.6827 37.5797  121.104 0.0251111
9.33254e+22  25.0086 37.041  121.399 0.0247819
9.12011e+22  24.7482 35.6113  122.673 0.0255931
8.91251e+22  24.402 35.3585  121.91 0.0262793
8.70964e+22  23.9058 34.6982  121.216 0.0255792
8.51138e+22  23.3988 34.1185  119.912 0.0254369
8.31764e+22  23.0868 32.8877  122.771 0.0247975
8.12831e+22  22.3096 33.1617  124.005 0.025103
7.94328e+22  22.1326 31.9988  126.259 0.0254512
7.76247e+22  21.7761 31.0744  123.286 0.0248913
7.58578e+22  21.909 30.4934  124.978 0.0256318
7.4131e+22  21.3064 30.1568  125.8 0.0261236
7.24436e+22  21.2536 30.3177  124.934 0.026305
7.07946e+22  20.8671 29.0087  125.568 0.0260905
6.91831e+22  20.2186 28.9481  125.895 0.0255211
6.76083e+22  19.9938 28.274  124.324 0.0264148
6.60693e+22  19.7895 27.6927  122.112 0.0250951
6.45654e+22  19.6727 27.2276  121.716 0.0256422
6.30957e+22  19.1759 27.6091  117.917 0.0259341
6.16595e+22  18.8896 26.9964  124.482 0.0257716
6.0256e+22  18.3702 26.0621  122.757 0.0262756
5.88844e+22  18.559 26.4186  122.669 0.0261711
5.7544e+22  17.9495 25.5654  122.995 0.0257781
5.62341e+22  17.8496 24.988  122.309 0.0260253
5.49541e+22  17.8846 24.6211  122.754 0.0257363
5.37032e+22  17.2947 23.6935  124.089 0.0268386
5.24807e+22  17.2703 23.7391  118.37 0.0256407
5.12861e+22  16.8407 23.85  123.431 0.0264901
5.01187e+22  16.7584 22.9185  122.937 0.0265362
4.89779e+22  16.515 22.0861  124.795 0.0263034
4.7863e+22  16.2067 22.312  120.483 0.0268147
4.67735e+22  15.5847 21.9075  123.36 0.0262731
4.57088e+22  15.9865 21.5197  123.119 0.0275704
4.46684e+22  15.5409 21.2088  125.148 0.0259847
4.36516e+22  15.3235 20.8837  117.687 0.0272716
4.2658e+22  14.9273 20.147  122.594 0.0269149
4.16869e+22  14.6206 20.0077  121.851 0.026582
4.0738e+22  14.4128 20.1475  121.274 0.0268186
3.98107e+22  14.164 19.2018  122.163 0.0265417
3.89045e+22  14.1813 18.6268  127.096 0.0258867
3.80189e+22  13.8565 18.7784  124.93 0.0266845
3.71535e+22  13.5369 18.3202  121.933 0.0266122
3.63078e+22  13.6774 18.0581  118.802 0.0263186
3.54813e+22  13.4929 17.8831  123.292 0.0265096
3.46737e+22  13.3735 17.2756  122.936 0.0262069
3.38844e+22  12.9678 17.5062  125.71 0.026571
3.31131e+22  12.8767 17.2421  120.002 0.0267937
3.23594e+22  12.7366 16.9644  122.239 0.0268099
3.16228e+22  12.5475 16.1717  123.435 0.027245
3.0903e+22  12.4486 16.1482  121.82 0.0273832
3.01995e+22  12.1208 15.7803  123.141 0.0274675
2.95121e+22  12.1628 15.4089  121.986 0.0271733
2.88403e+22  12.0107 15.2556  122.687 0.0281495
2.81838e+22  11.9167 15.3603  118.486 0.0268837
2.75423e+22  11.5049 14.8563  122.754 0.0269636
2.69153e+22  11.262 14.769  120.765 0.027374
2.63027e+22  11.4716 14.376  120.863 0.0269618
2.5704e+22  11.0373 14.1669  126.078 0.0267325
2.51189e+22  10.8279 14.1247  118.809 0.027279
2.45471e+22  11.1112 13.8605  122.622 0.0273716
2.39883e+22  10.7276 13.5532  118.484 0.0277213
2.34423e+22  10.738 13.208  124.144 0.0275426
2.29087e+22  10.6969 13.1446  121.969 0.0277499
2.23872e+22  10.2616 12.8244  120.642 0.027228
2.18776e+22  10.4516 12.6316  119.667 0.027542
2.13796e+22  10.1978 12.6616  124.295 0.0278275
2.0893e+22  10.0927 12.7031  120.842 0.0285689
2.04174e+22  9.91628 12.3558  122.591 0.0281149
1.99526e+22  9.91187 12.2271  120.233 0.0279943
1.94984e+22  9.87611 11.7236  119.165 0.0275796
1.90546e+22  9.82017 11.4286  120.134 0.0281615
1.86209e+22  9.38563 11.3024  120.212 0.0281084
1.8197e+22  9.29523 11.327  121.087 0.0273319
1.77828e+22  9.28348 11.0602  123.624 0.0288689
1.7378e+22  9.22578 11.0803  121.58 0.0286236
1.69824e+22  9.02604 10.7305  121.234 0.0279887
1.65959e+22  9.15987 10.5963  125.297 0.0279349
1.62181e+22  9.04057 10.3494  123.701 0.0286192
1.58489e+22  8.93826 10.3315  123.878 0.0280772
1.54882e+22  8.58788 9.97779  120.992 0.0282842
1.51356e+22  8.6143 9.80845  124.058 0.0278303
1.47911e+22  8.58206 9.77746  122.522 0.0280885
1.44544e+22  8.41222 9.71639  123.646 0.0291428
1.41254e+22  8.32151 9.72428  122.963 0.0285862
1.38038e+22  8.26189 9.36095  121.09 0.0271268
1.34896e+22  8.32295 9.18612  122.327 0.0281228
1.31826e+22  7.99999 9.10608  123.65 0.0283508
1.28825e+22  8.09045 8.95668  121.352 0.0288201
1.25893e+22  7.97359 8.83563  120.701 0.0284969
1.23027e+22  8.01013 8.79285  124.703 0.0292675
1.20226e+22  7.91168 8.5704  123.149 0.0287456
1.1749e+22  7.69016 8.37948  120.148 0.0286488
1.14815e+22  7.58267 8.47434  120.204 0.0290843
1.12202e+22  7.48154 8.221  121.963 0.028328
1.09648e+22  7.55793 8.05103  122.393 0.0290394
1.07152e+22  7.49166 8.0951  120.54 0.0285587
1.04713e+22  7.47036 7.99636  121.416 0.0289692
1.02329e+22  7.53022 7.85646  123.263 0.0293573
1e+22  7.38569 7.56859  120.924 0.0303083
9.77237e+21  7.45848 7.57638  118.842 0.02937
9.54993e+21  7.24988 7.39336  119.884 0.029716
9.33254e+21  7.32851 7.35007  119.534 0.0294439
9.12011e+21  7.12311 7.39783  125.566 0.0294922
8.91251e+21  7.13316 7.19348  124.952 0.0303013
8.70964e+21  7.09477 7.02929  120.318 0.0300243
8.51138e+21  6.95723 6.86446  124.41 0.0309979
8.31764e+21  7.04969 6.73701  125.284 0.0291771
8.12831e+21  6.91251 6.93315  121.173 0.0303047
7.94328e+21  6.86655 6.76277  124.742 0.031008
7.76247e+21  6.80088 6.63964  123.225 0.0295731
7.58578e+21  6.7213 6.5704  124.083 0.0299914
7.4131e+21  6.82529 6.43634  121.696 0.0295839
7.24436e+21  6.82184 6.42662  117.915 0.0296598
7.07946e+21  6.60648 6.04037  118.917 0.0293914
6.91831e+21  6.55684 6.07748  122.036 0.0308144
6.76083e+21  6.37223 6.13055  122.354 0.0295399
6.60693e+21  6.349 6.04499  120.11 0.0301458
6.45654e+21  6.60794 5.85568  122.869 0.0297201
6.30957e+21  6.4415 5.87961  121.958 0.0293971
6.16595e+21  6.32525 5.77303  121.658 0.0299213
6.0256e+21  6.20963 5.6485  122.329 0.030219
5.88844e+21  6.26299 5.63705  121.668 0.0297586
5.7544e+21  6.29983 5.46285  117.709 0.0300615
5.62341e+21  6.11406 5.52355  119.029 0.0311604
5.49541e+21  5.98188 5.27115  118.454 0.0310656
5.37032e+21  6.13106 5.25866  120.803 0.0302225
5.24807e+21  6.00418 5.13319  120.893 0.0307323
5.12861e+21  6.13792 5.13515  122.547 0.0307416
5.01187e+21  6.04403 5.09366  122.513 0.0305866
4.89779e+21  6.21098 4.97696  123.479 0.0307638
4.7863e+21  5.96503 5.00566  126.988 0.03038
4.67735e+21  6.08744 4.87764  120.214 0.0311855
4.57088e+21  6.16034 4.73548  122.334 0.0302463
4.46684e+21  5.94198 4.74726  121.556 0.0313537
4.36516e+21  6.09321 4.7846  124.35 0.0299263
4.2658e+21  5.80698 4.60824  120.947 0.0301174
4.16869e+21  5.7479 4.60117  121.45 0.0299578
4.0738e+21  5.91782 4.46621  124.118 0.0310414
3.98107e+21  5.87926 4.44945  119.461 0.0304985
3.89045e+21  5.87066 4.35363  118.825 0.0315867
3.80189e+21  5.93025 4.37307  123.537 0.0307772
3.71535e+21  5.92119 4.23845  121.663 0.0304766
3.63078e+21  5.73746 4.2251  121.437 0.0311741
3.54813e+21  5.88362 4.24279  123.43 0.0309915
3.46737e+21  5.64659 4.21826  123.434 0.0311963
3.38844e+21  5.86739 4.13489  122.896 0.0310594
3.31131e+21  5.71227 4.09471  124.012 0.0314374
3.23594e+21  5.59154 4.0098  123.802 0.0308635
3.16228e+21  5.8417 3.86344  118.58 0.0315221
3.0903e+21  5.49425 3.99224  122.265 0.0318073
3.01995e+21  5.67888 3.86558  122.472 0.0316444
2.95121e+21  5.50777 3.75095  124.48 0.0324792
2.88403e+21  5.62982 3.71554  120.08 0.0321276
2.81838e+21  5.59488 3.65533  122.147 0.032207
2.75423e+21  5.69522 3.69918  122.301 0.0322808
2.69153e+21  5.52717 3.65528  123.514 0.0317632
2.63027e+21  5.67196 3.57495  119.168 0.0328885
2.5704e+21  5.56594 3.43777  126.103 0.0319487
2.51189e+21  5.66045 3.52381  119.407 0.0321276
2.45471e+21  5.5646 3.47569  121.404 0.030976
2.39883e+21  5.47207 3.39463  125.704 0.0317462
2.34423e+21  5.65197 3.24906  121.967 0.0309338
2.29087e+21  5.66745 3.29366  119.043 0.0315213
2.23872e+21  5.59507 3.22624  124.303 0.0321421
2.18776e+21  5.38422 3.20931  123.814 0.0326348
2.13796e+21  5.51107 3.19136  122.425 0.0330602
2.0893e+21  5.55241 3.11175  123.076 0.0324846
2.04174e+21  5.54549 3.09414  122.021 0.0325073
