A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
9  	B      	5  	4  	0.0000  	3/2-          	12.4164   	9    	0.54 KEV 21              	8.439E-19                	          	        	2A      	100.00      
10 	B      	5  	5  	0.0000  	3+            	12.0507   	4    	STABLE                   	infinity                 	19.9%     	7       	        	            
11 	B      	5  	6  	0.0000  	3/2-          	8.6679    	4    	STABLE                   	infinity                 	80.1%     	7       	        	            
12 	B      	5  	7  	0.0000  	1+            	13.3688   	14   	20.20 MS 2               	0.0202                   	          	        	B-      	100.00      
12 	B      	5  	7  	0.0000  	1+            	13.3688   	14   	20.20 MS 2               	0.0202                   	          	        	B3A     	1.58        
13 	B      	5  	8  	0.0000  	3/2-          	16.5621   	11   	17.33 MS 17              	0.0173                   	          	        	B-      	100.00      
14 	B      	5  	9  	0.0000  	2-            	23.664    	21   	12.5 MS 5                	0.0125                   	          	        	B-      	100.00      
15 	B      	5  	10 	0.0000  	              	28.964    	22   	9.93 MS 7                	0.00993                  	          	        	BN      	93.60       
15 	B      	5  	10 	0.0000  	              	28.964    	22   	9.93 MS 7                	0.00993                  	          	        	B2N     	0.40        
15 	B      	5  	10 	0.0000  	              	28.964    	22   	9.93 MS 7                	0.00993                  	          	        	B-      	100.00      
16 	B      	5  	11 	0.0000  	0-            	37.12     	3    	190 PS LT                	1.9E-10                  	          	        	N       	            
17 	B      	5  	12 	0.0000  	(3/2-)        	43.77     	17   	5.08 MS 5                	0.00508                  	          	        	B-      	100.00      
17 	B      	5  	12 	0.0000  	(3/2-)        	43.77     	17   	5.08 MS 5                	0.00508                  	          	        	BN      	63.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.77     	17   	5.08 MS 5                	0.00508                  	          	        	B2N     	11.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.77     	17   	5.08 MS 5                	0.00508                  	          	        	B3N     	3.50        
17 	B      	5  	12 	0.0000  	(3/2-)        	43.77     	17   	5.08 MS 5                	0.00508                  	          	        	B4N     	0.40        
18 	B      	5  	13 	0.0000  	(4-)          	51.9      	4    	26 NS LT                 	2.6E-8                   	          	        	N       	?           
19 	B      	5  	14 	0.0000  	(3/2-)        	58.8      	4    	2.92 MS 13               	0.00292                  	          	        	BN      	72.00       
19 	B      	5  	14 	0.0000  	(3/2-)        	58.8      	4    	2.92 MS 13               	0.00292                  	          	        	B2N     	16.00       
19 	B      	5  	14 	0.0000  	(3/2-)        	58.8      	4    	2.92 MS 13               	0.00292                  	          	        	B-      	100.00      
