A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
38 	Al     	13 	25 	0.0000  	              	16.21     	25   	7.6 MS 6                 	0.0076                   	          	        	BN      	            
39 	Al     	13 	26 	0.0000  	              	21.0      	6    	7.6 MS 16                	0.0076                   	          	        	B-      	            
39 	Al     	13 	26 	0.0000  	              	21.0      	6    	7.6 MS 16                	0.0076                   	          	        	BN      	            
40 	Al     	13 	27 	0.0000  	              	28.0      	7    	260 NS GT                	2.6E-7                   	          	        	B-      	            
40 	Al     	13 	27 	0.0000  	              	28.0      	7    	260 NS GT                	2.6E-7                   	          	        	BN      	            
41 	Al     	13 	28 	0.0000  	              	33.9      	8    	260 NS GT                	2.6E-7                   	          	        	B-      	            
42 	Al     	13 	29 	0.0000  	              	41.5      	9    	170 NS GT                	1.7E-7                   	          	        	BN      	            
42 	Al     	13 	29 	0.0000  	              	41.5      	9    	170 NS GT                	1.7E-7                   	          	        	B-      	            
43 	Al     	13 	30 	0.0000  	              	48.4      	9    	170 NS GT                	1.7E-7                   	          	        	B-      	            
43 	Al     	13 	30 	0.0000  	              	48.4      	9    	170 NS GT                	1.7E-7                   	          	        	BN      	            
22 	Si     	14 	8  	0.0000  	0+            	33.0      	4    	29 MS 2                  	0.029                    	          	        	EC      	100.00      
22 	Si     	14 	8  	0.0000  	0+            	33.0      	4    	29 MS 2                  	0.029                    	          	        	EP      	32.00       
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.1      	4    	42.3 MS 4                	0.0423                   	          	        	EC      	100.00      
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.1      	4    	42.3 MS 4                	0.0423                   	          	        	EP      	71.00       
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.1      	4    	42.3 MS 4                	0.0423                   	          	        	E2P     	3.60        
24 	Si     	14 	10 	0.0000  	0+            	10.755    	19   	140.5 MS 15              	0.141                    	          	        	EC      	100.00      
24 	Si     	14 	10 	0.0000  	0+            	10.755    	19   	140.5 MS 15              	0.141                    	          	        	EP      	45.00       
25 	Si     	14 	11 	0.0000  	5/2+          	3.827     	10   	220 MS 3                 	0.22                     	          	        	EP      	35.00       
25 	Si     	14 	11 	0.0000  	5/2+          	3.827     	10   	220 MS 3                 	0.22                     	          	        	EC      	100.00      
26 	Si     	14 	12 	0.0000  	0+            	-7.14090  	11   	2.229 S 3                	2.229                    	          	        	EC      	100.00      
27 	Si     	14 	13 	0.0000  	5/2+          	-12.38430 	14   	4.15 S 4                 	4.15                     	          	        	EC      	100.00      
28 	Si     	14 	14 	0.0000  	0+            	**********	4    	STABLE                   	infinity                 	92.223%   	19      	        	            
29 	Si     	14 	15 	0.0000  	1/2+          	**********	5    	STABLE                   	infinity                 	4.685%    	8       	        	            
30 	Si     	14 	16 	0.0000  	0+            	-24.432900	22   	STABLE                   	infinity                 	3.092%    	11      	        	            
31 	Si     	14 	17 	0.0000  	3/2+          	-22.94900 	4    	157.3 M 3                	9438                     	          	        	B-      	100.00      
32 	Si     	14 	18 	0.0000  	0+            	-24.0776  	3    	153 Y 19                 	4.828E9                  	          	        	B-      	100.00      
33 	Si     	14 	19 	0.0000  	3/2+          	-20.5143  	7    	6.11 S 21                	6.11                     	          	        	B-      	100.00      
34 	Si     	14 	20 	0.0000  	0+            	-19.957   	14   	2.77 S 20                	2.77                     	          	        	B-      	100.00      
35 	Si     	14 	21 	0.0000  	              	-14.36    	4    	0.78 S 12                	0.78                     	          	        	B-      	100.00      
35 	Si     	14 	21 	0.0000  	              	-14.36    	4    	0.78 S 12                	0.78                     	          	        	BN      	< 5.00      
36 	Si     	14 	22 	0.0000  	0+            	-12.42    	6    	0.45 S 6                 	0.45                     	          	        	B-      	100.00      
36 	Si     	14 	22 	0.0000  	0+            	-12.42    	6    	0.45 S 6                 	0.45                     	          	        	BN      	< 10.00     
37 	Si     	14 	23 	0.0000  	(7/2-)        	-6.59     	8    	90 MS 60                 	0.09                     	          	        	B-      	100.00      
37 	Si     	14 	23 	0.0000  	(7/2-)        	-6.59     	8    	90 MS 60                 	0.09                     	          	        	BN      	17.00       
38 	Si     	14 	24 	0.0000  	0+            	-4.17     	7    	1 US GT                  	1E-6                     	          	        	B-      	            
38 	Si     	14 	24 	0.0000  	0+            	-4.17     	7    	1 US GT                  	1E-6                     	          	        	BN      	            
39 	Si     	14 	25 	0.0000  	              	2.32      	9    	47.5 MS 20               	0.0475                   	          	        	B-      	            
39 	Si     	14 	25 	0.0000  	              	2.32      	9    	47.5 MS 20               	0.0475                   	          	        	BN      	            
40 	Si     	14 	26 	0.0000  	0+            	5.43      	23   	33.0 MS 10               	0.033                    	          	        	BN      	            
40 	Si     	14 	26 	0.0000  	0+            	5.43      	23   	33.0 MS 10               	0.033                    	          	        	B-      	            
41 	Si     	14 	27 	0.0000  	              	12.1      	4    	20.0 MS 25               	0.02                     	          	        	B-      	            
41 	Si     	14 	27 	0.0000  	              	12.1      	4    	20.0 MS 25               	0.02                     	          	        	BN      	?           
42 	Si     	14 	28 	0.0000  	0+            	16.6      	5    	12.5 MS 35               	0.0125                   	          	        	B-      	100.00      
42 	Si     	14 	28 	0.0000  	0+            	16.6      	5    	12.5 MS 35               	0.0125                   	          	        	BN      	            
43 	Si     	14 	29 	0.0000  	              	23.1      	8    	60 NS GT                 	6.000000000000001E-8     	          	        	B-      	            
43 	Si     	14 	29 	0.0000  	              	23.1      	8    	60 NS GT                 	6.000000000000001E-8     	          	        	BN      	            
44 	Si     	14 	30 	0.0000  	0+            	28.5      	8    	360 NS GT                	3.6E-7                   	          	        	B-      	            
44 	Si     	14 	30 	0.0000  	0+            	28.5      	8    	360 NS GT                	3.6E-7                   	          	        	BN      	            
24 	P      	15 	9  	0.0000  	(1+)          	32.8      	5    	                         	                         	          	        	EC      	?           
24 	P      	15 	9  	0.0000  	(1+)          	32.8      	5    	                         	                         	          	        	P       	?           
25 	P      	15 	10 	0.0000  	(1/2+)        	19.7      	4    	30 NS LT                 	3.0000000000000004E-8    	          	        	P       	100.00      
26 	P      	15 	11 	0.0000  	(3+)          	10.97     	20   	43.7 MS 6                	0.0437                   	          	        	EC      	100.00      
26 	P      	15 	11 	0.0000  	(3+)          	10.97     	20   	43.7 MS 6                	0.0437                   	          	        	EP      	            
27 	P      	15 	12 	0.0000  	1/2+          	-0.72     	3    	260 MS 80                	0.26                     	          	        	EC      	100.00      
27 	P      	15 	12 	0.0000  	1/2+          	-0.72     	3    	260 MS 80                	0.26                     	          	        	EP      	0.07        
28 	P      	15 	13 	0.0000  	3+            	-7.1490   	11   	270.3 MS 5               	0.27                     	          	        	EC      	100.00      
28 	P      	15 	13 	0.0000  	3+            	-7.1490   	11   	270.3 MS 5               	0.27                     	          	        	EP      	1.3E-3      
28 	P      	15 	13 	0.0000  	3+            	-7.1490   	11   	270.3 MS 5               	0.27                     	          	        	EA      	8.6E-4      
29 	P      	15 	14 	0.0000  	1/2+          	-16.9526  	6    	4.142 S 15               	4.142                    	          	        	EC      	100.00      
30 	P      	15 	15 	0.0000  	1+            	-20.2006  	3    	2.498 M 4                	149.88                   	          	        	EC      	100.00      
31 	P      	15 	16 	0.0000  	1/2+          	**********	7    	STABLE                   	infinity                 	100%      	        	        	            
32 	P      	15 	17 	0.0000  	1+            	-24.30480 	4    	14.262 D 14              	1232236.8                	          	        	B-      	100.00      
33 	P      	15 	18 	0.0000  	1/2+          	-26.3373  	11   	25.35 D 11               	2190240                  	          	        	B-      	100.00      
34 	P      	15 	19 	0.0000  	1+            	-24.5486  	8    	12.43 S 8                	12.43                    	          	        	B-      	100.00      
35 	P      	15 	20 	0.0000  	1/2+          	-24.8578  	19   	47.3 S 7                 	47.3                     	          	        	B-      	100.00      
36 	P      	15 	21 	0.0000  	4-            	-20.251   	13   	5.6 S 3                  	5.6                      	          	        	B-      	100.00      
37 	P      	15 	22 	0.0000  	              	-19.00    	4    	2.31 S 13                	2.31                     	          	        	B-      	100.00      
38 	P      	15 	23 	0.0000  	(0-:4-)       	-14.64    	7    	0.64 S 14                	0.64                     	          	        	B-      	100.00      
38 	P      	15 	23 	0.0000  	(0-:4-)       	-14.64    	7    	0.64 S 14                	0.64                     	          	        	BN      	12.00       
39 	P      	15 	24 	0.0000  	(1/2+)        	-12.80    	8    	0.28 S 4                 	0.28                     	          	        	B-      	100.00      
39 	P      	15 	24 	0.0000  	(1/2+)        	-12.80    	8    	0.28 S 4                 	0.28                     	          	        	BN      	26.00       
40 	P      	15 	25 	0.0000  	(2-,3-)       	-8.07     	11   	125 MS 25                	0.125                    	          	        	B-      	100.00      
40 	P      	15 	25 	0.0000  	(2-,3-)       	-8.07     	11   	125 MS 25                	0.125                    	          	        	BN      	15.80       
41 	P      	15 	26 	0.0000  	(1/2+)        	-4.98     	8    	100 MS 5                 	0.1                      	          	        	B-      	100.00      
41 	P      	15 	26 	0.0000  	(1/2+)        	-4.98     	8    	100 MS 5                 	0.1                      	          	        	BN      	30.00       
42 	P      	15 	27 	0.0000  	              	1.01      	21   	48.5 MS 15               	0.0485                   	          	        	B-      	100.00      
42 	P      	15 	27 	0.0000  	              	1.01      	21   	48.5 MS 15               	0.0485                   	          	        	BN      	50.00       
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7       	4    	36.5 MS 15               	0.0365                   	          	        	B-      	100.00      
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7       	4    	36.5 MS 15               	0.0365                   	          	        	BN      	100.00      
44 	P      	15 	29 	0.0000  	              	10.4      	8    	18.5 MS 25               	0.0185                   	          	        	B-      	            
44 	P      	15 	29 	0.0000  	              	10.4      	8    	18.5 MS 25               	0.0185                   	          	        	BN      	            
45 	P      	15 	30 	0.0000  	              	15.3      	8    	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	            
46 	P      	15 	31 	0.0000  	              	22.8      	8    	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	100.00      
26 	S      	16 	10 	0.0000  	0+            	27.1      	6    	79 NS LT                 	7.9E-8                   	          	        	2P      	?           
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0      	4    	15.5 MS 15               	0.0155                   	          	        	EC      	100.00      
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0      	4    	15.5 MS 15               	0.0155                   	          	        	EP      	2.30        
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0      	4    	15.5 MS 15               	0.0155                   	          	        	E2P     	1.10        
28 	S      	16 	12 	0.0000  	0+            	4.07      	16   	125 MS 10                	0.125                    	          	        	EC      	100.00      
28 	S      	16 	12 	0.0000  	0+            	4.07      	16   	125 MS 10                	0.125                    	          	        	EP      	20.70       
29 	S      	16 	13 	0.0000  	5/2+          	-3.16     	5    	187 MS 4                 	0.187                    	          	        	EC      	100.00      
29 	S      	16 	13 	0.0000  	5/2+          	-3.16     	5    	187 MS 4                 	0.187                    	          	        	EP      	47.00       
30 	S      	16 	14 	0.0000  	0+            	-14.062   	3    	1.178 S 5                	1.178                    	          	        	EC      	100.00      
31 	S      	16 	15 	0.0000  	1/2+          	-19.0430  	10   	2.572 S 13               	2.572                    	          	        	EC      	100.00      
32 	S      	16 	16 	0.0000  	0+            	**********	13   	STABLE                   	infinity                 	94.99%    	26      	        	            
33 	S      	16 	17 	0.0000  	3/2+          	**********	14   	STABLE                   	infinity                 	0.75%     	2       	        	            
34 	S      	16 	18 	0.0000  	0+            	-29.93160 	6    	STABLE                   	infinity                 	4.25%     	24      	        	            
35 	S      	16 	19 	0.0000  	3/2+          	-28.84610 	4    	87.37 D 4                	7548768                  	          	        	B-      	100.00      
36 	S      	16 	20 	0.0000  	0+            	-30.66410 	19   	STABLE                   	infinity                 	0.01%     	1       	        	            
37 	S      	16 	21 	0.0000  	7/2-          	-26.89640 	20   	5.05 M 2                 	303                      	          	        	B-      	100.00      
38 	S      	16 	22 	0.0000  	0+            	-26.861   	7    	170.3 M 7                	10218                    	          	        	B-      	100.00      
39 	S      	16 	23 	0.0000  	(7/2)-        	-23.16    	5    	11.5 S 5                 	11.5                     	          	        	B-      	100.00      
40 	S      	16 	24 	0.0000  	0+            	-22.93    	11   	8.8 S 22                 	8.8                      	          	        	B-      	100.00      
41 	S      	16 	25 	0.0000  	(7/2-)        	-19.09    	6    	1.99 S 5                 	1.99                     	          	        	BN      	            
41 	S      	16 	25 	0.0000  	(7/2-)        	-19.09    	6    	1.99 S 5                 	1.99                     	          	        	B-      	100.00      
42 	S      	16 	26 	0.0000  	0+            	-17.68    	12   	1.03 S 3                 	1.03                     	          	        	B-      	100.00      
43 	S      	16 	27 	0.0000  	              	-12.07    	10   	0.28 S 3                 	0.28                     	          	        	B-      	100.00      
43 	S      	16 	27 	0.0000  	              	-12.07    	10   	0.28 S 3                 	0.28                     	          	        	BN      	40.00       
44 	S      	16 	28 	0.0000  	0+            	-9.10     	14   	100 MS 1                 	0.1                      	          	        	B-      	100.00      
44 	S      	16 	28 	0.0000  	0+            	-9.10     	14   	100 MS 1                 	0.1                      	          	        	BN      	18.00       
45 	S      	16 	29 	0.0000  	              	-4.0      	7    	68 MS 2                  	0.068                    	          	        	B-      	100.00      
45 	S      	16 	29 	0.0000  	              	-4.0      	7    	68 MS 2                  	0.068                    	          	        	BN      	54.00       
46 	S      	16 	30 	0.0000  	0+            	0         	AP   	50 MS 8                  	0.05                     	          	        	B-      	100.00      
48 	S      	16 	32 	0.0000  	0+            	12.8      	9    	200 NS GE                	2.0000000000000002E-7    	          	        	B-      	            
49 	S      	16 	33 	0.0000  	              	21.2      	10   	200 NS LT                	2.0000000000000002E-7    	          	        	N       	            
28 	Cl     	17 	11 	0.0000  	(1+)          	27.5      	6    	                         	                         	          	        	P       	?           
29 	Cl     	17 	12 	0.0000  	(3/2+)        	13.8      	4    	20 NS LT                 	2E-8                     	          	        	P       	            
30 	Cl     	17 	13 	0.0000  	(3+)          	4.44      	20   	30 NS LT                 	3.0000000000000004E-8    	          	        	P       	            
31 	Cl     	17 	14 	0.0000  	              	-7.07     	5    	150 MS 25                	0.15                     	          	        	EC      	100.00      
31 	Cl     	17 	14 	0.0000  	              	-7.07     	5    	150 MS 25                	0.15                     	          	        	EP      	0.70        
32 	Cl     	17 	15 	0.0000  	1+            	-13.3351  	9    	298 MS 1                 	0.298                    	          	        	EC      	100.00      
32 	Cl     	17 	15 	0.0000  	1+            	-13.3351  	9    	298 MS 1                 	0.298                    	          	        	EA      	0.05        
32 	Cl     	17 	15 	0.0000  	1+            	-13.3351  	9    	298 MS 1                 	0.298                    	          	        	EP      	0.03        
33 	Cl     	17 	16 	0.0000  	3/2+          	-21.0032  	4    	2.511 S 4                	2.511                    	          	        	EC      	100.00      
34 	Cl     	17 	17 	0.0000  	0+            	-24.44000 	7    	1.5264 S 14              	1.526                    	          	        	EC      	100.00      
35 	Cl     	17 	18 	0.0000  	3/2+          	-29.01350 	4    	STABLE                   	infinity                 	75.76%    	10      	        	            
36 	Cl     	17 	19 	0.0000  	2+            	-29.52190 	4    	3.01E+5 Y 2              	9.499E12                 	          	        	B-      	98.10       
36 	Cl     	17 	19 	0.0000  	2+            	-29.52190 	4    	3.01E+5 Y 2              	9.499E12                 	          	        	EC      	1.90        
37 	Cl     	17 	20 	0.0000  	3/2+          	-31.76150 	5    	STABLE                   	infinity                 	24.24%    	10      	        	            
38 	Cl     	17 	21 	0.0000  	2-            	-29.79810 	10   	37.24 M 5                	2234.4                   	          	        	B-      	100.00      
39 	Cl     	17 	22 	0.0000  	3/2+          	-29.8002  	17   	56.2 M 6                 	3372                     	          	        	B-      	100.00      
40 	Cl     	17 	23 	0.0000  	2-            	-27.56    	3    	1.35 M 2                 	81                       	          	        	B-      	100.00      
41 	Cl     	17 	24 	0.0000  	(1/2+)        	-27.31    	7    	38.4 S 8                 	38.4                     	          	        	B-      	100.00      
42 	Cl     	17 	25 	0.0000  	              	-24.91    	14   	6.8 S 3                  	6.8                      	          	        	B-      	100.00      
43 	Cl     	17 	26 	0.0000  	(1/2+)        	-24.41    	21   	3.13 S 9                 	3.13                     	          	        	B-      	100.00      
44 	Cl     	17 	27 	0.0000  	(2-)          	-20.61    	14   	0.56 S 11                	0.56                     	          	        	BN      	< 8.00      
44 	Cl     	17 	27 	0.0000  	(2-)          	-20.61    	14   	0.56 S 11                	0.56                     	          	        	B-      	100.00      
45 	Cl     	17 	28 	0.0000  	(1/2+)        	-18.36    	10   	413 MS 25                	0.413                    	          	        	B-      	100.00      
45 	Cl     	17 	28 	0.0000  	(1/2+)        	-18.36    	10   	413 MS 25                	0.413                    	          	        	BN      	24.00       
46 	Cl     	17 	29 	0.0000  	              	-13.81    	16   	232 MS 2                 	0.232                    	          	        	B-      	100.00      
46 	Cl     	17 	29 	0.0000  	              	-13.81    	16   	232 MS 2                 	0.232                    	          	        	BN      	60.00       
47 	Cl     	17 	30 	0.0000  	              	-10.1     	8    	101 MS 6                 	0.101                    	          	        	B-      	100.00      
47 	Cl     	17 	30 	0.0000  	              	-10.1     	8    	101 MS 6                 	0.101                    	          	        	BN      	> 0.00      
48 	Cl     	17 	31 	0.0000  	              	-4.1      	7    	200 NS GE                	2.0000000000000002E-7    	          	        	B-      	            
49 	Cl     	17 	32 	0.0000  	              	1.1       	8    	170 NS GE                	1.7E-7                   	          	        	B-      	            
50 	Cl     	17 	33 	0.0000  	              	8.4       	9    	620 NS GT                	6.2E-7                   	          	        	B-      	            
50 	Cl     	17 	33 	0.0000  	              	8.4       	9    	620 NS GT                	6.2E-7                   	          	        	BN      	            
51 	Cl     	17 	34 	0.0000  	(3/2+)        	14.5      	10   	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	            
30 	Ar     	18 	12 	0.0000  	0+            	21.5      	5    	20 NS LT                 	2E-8                     	          	        	P       	?           
31 	Ar     	18 	13 	0.0000  	5/2(+)        	11.29     	21   	14.4 MS 6                	0.0144                   	          	        	EC      	100.00      
31 	Ar     	18 	13 	0.0000  	5/2(+)        	11.29     	21   	14.4 MS 6                	0.0144                   	          	        	EP      	62.00       
31 	Ar     	18 	13 	0.0000  	5/2(+)        	11.29     	21   	14.4 MS 6                	0.0144                   	          	        	E2P     	8.50        
32 	Ar     	18 	14 	0.0000  	0+            	-2.2003   	18   	100.5 MS 3               	0.101                    	          	        	EC      	100.00      
32 	Ar     	18 	14 	0.0000  	0+            	-2.2003   	18   	100.5 MS 3               	0.101                    	          	        	EP      	35.60       
33 	Ar     	18 	15 	0.0000  	1/2+          	-9.3843   	4    	173.0 MS 20              	0.173                    	          	        	EC      	100.00      
33 	Ar     	18 	15 	0.0000  	1/2+          	-9.3843   	4    	173.0 MS 20              	0.173                    	          	        	EP      	38.70       
34 	Ar     	18 	16 	0.0000  	0+            	-18.3773  	3    	844.5 MS 34              	0.845                    	          	        	EC      	100.00      
35 	Ar     	18 	17 	0.0000  	3/2+          	-23.0473  	7    	1.7756 S 10              	1.776                    	          	        	EC      	100.00      
36 	Ar     	18 	18 	0.0000  	0+            	-30.23150 	3    	STABLE                   	infinity                 	0.3336%   	21      	        	            
37 	Ar     	18 	19 	0.0000  	3/2+          	-30.94760 	21   	35.04 D 4                	3027456                  	          	        	EC      	100.00      
38 	Ar     	18 	20 	0.0000  	0+            	-34.71470 	25   	STABLE                   	infinity                 	0.0629%   	7       	        	            
39 	Ar     	18 	21 	0.0000  	7/2-          	-33.242   	5    	269 Y 3                  	8.489E9                  	          	        	B-      	100.00      
40 	Ar     	18 	22 	0.0000  	0+            	**********	22   	STABLE                   	infinity                 	99.6035%  	25      	        	            
41 	Ar     	18 	23 	0.0000  	7/2-          	-33.0675  	3    	109.61 M 4               	6576.6                   	          	        	B-      	100.00      
42 	Ar     	18 	24 	0.0000  	0+            	-34.423   	6    	32.9 Y 11                	1.0382E9                 	          	        	B-      	100.00      
43 	Ar     	18 	25 	0.0000  	(5/2-)        	-32.010   	5    	5.37 M 6                 	322.2                    	          	        	B-      	100.00      
44 	Ar     	18 	26 	0.0000  	0+            	-32.6732  	16   	11.87 M 5                	712.2                    	          	        	B-      	100.00      
45 	Ar     	18 	27 	0.0000  	5/2-,7/2-     	-29.7707  	5    	21.48 S 15               	21.48                    	          	        	B-      	100.00      
46 	Ar     	18 	28 	0.0000  	0+            	-29.73    	4    	8.4 S 6                  	8.4                      	          	        	B-      	100.00      
47 	Ar     	18 	29 	0.0000  	(3/2)-        	-25.21    	9    	1.23 S 3                 	1.23                     	          	        	B-      	100.00      
47 	Ar     	18 	29 	0.0000  	(3/2)-        	-25.21    	9    	1.23 S 3                 	1.23                     	          	        	BN      	< 0.20      
48 	Ar     	18 	30 	0.0000  	0+            	-22.6     	7    	475 MS 40                	0.475                    	          	        	B-      	100.00      
49 	Ar     	18 	31 	0.0000  	              	-16.8     	8    	170 MS 50                	0.17                     	          	        	B-      	100.00      
49 	Ar     	18 	31 	0.0000  	              	-16.8     	8    	170 MS 50                	0.17                     	          	        	BN      	65.00       
50 	Ar     	18 	32 	0.0000  	0+            	-12.8     	9    	85 MS 30                 	0.085                    	          	        	B-      	100.00      
50 	Ar     	18 	32 	0.0000  	0+            	-12.8     	9    	85 MS 30                 	0.085                    	          	        	BN      	35.00       
51 	Ar     	18 	33 	0.0000  	              	-5.9      	10   	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	            
52 	Ar     	18 	34 	0.0000  	0+            	-1.0      	10   	620 NS GT                	6.2E-7                   	          	        	B-      	?           
53 	Ar     	18 	35 	0.0000  	              	7.1       	10   	620 NS GT                	6.2E-7                   	          	        	B-      	?           
53 	Ar     	18 	35 	0.0000  	              	7.1       	10   	620 NS GT                	6.2E-7                   	          	        	BN      	?           
53 	Ar     	18 	35 	0.0000  	              	7.1       	10   	620 NS GT                	6.2E-7                   	          	        	B2N     	?           
32 	K      	19 	13 	0.0000  	              	21.1      	5    	                         	                         	          	        	P       	?           
33 	K      	19 	14 	0.0000  	              	7.04      	20   	25 NS LT                 	2.5E-8                   	          	        	P       	            
34 	K      	19 	15 	0.0000  	(1+)          	-1.2      	3    	25 NS LT                 	2.5E-8                   	          	        	P       	            
35 	K      	19 	16 	0.0000  	3/2+          	-11.1729  	5    	178 MS 8                 	0.178                    	          	        	EC      	100.00      
35 	K      	19 	16 	0.0000  	3/2+          	-11.1729  	5    	178 MS 8                 	0.178                    	          	        	EP      	0.37        
36 	K      	19 	17 	0.0000  	2+            	-17.4173  	3    	342 MS 2                 	0.342                    	          	        	EC      	100.00      
36 	K      	19 	17 	0.0000  	2+            	-17.4173  	3    	342 MS 2                 	0.342                    	          	        	EP      	0.05        
36 	K      	19 	17 	0.0000  	2+            	-17.4173  	3    	342 MS 2                 	0.342                    	          	        	EA      	3.4E-3      
37 	K      	19 	18 	0.0000  	3/2+          	-24.80010 	9    	1.226 S 7                	1.226                    	          	        	EC      	100.00      
38 	K      	19 	19 	0.0000  	3+            	-28.80060 	25   	7.636 M 18               	458.16                   	          	        	EC      	100.00      
39 	K      	19 	20 	0.0000  	3/2+          	-33.807100	5    	STABLE                   	infinity                 	93.2581%  	44      	        	            
40 	K      	19 	21 	0.0000  	4-            	-33.53540 	6    	1.248E+9 Y 3             	3.938E16                 	0.0117%   	1       	B-      	89.28       
40 	K      	19 	21 	0.0000  	4-            	-33.53540 	6    	1.248E+9 Y 3             	3.938E16                 	0.0117%   	1       	EC      	10.72       
41 	K      	19 	22 	0.0000  	3/2+          	-35.559500	4    	STABLE                   	infinity                 	6.7302%   	44      	        	            
42 	K      	19 	23 	0.0000  	2-            	-35.02200 	11   	12.321 H 25              	44355.6                  	          	        	B-      	100.00      
43 	K      	19 	24 	0.0000  	3/2+          	-36.5753  	4    	22.3 H 1                 	80280                    	          	        	B-      	100.00      
44 	K      	19 	25 	0.0000  	2-            	-35.7814  	4    	22.13 M 19               	1327.8                   	          	        	B-      	100.00      
45 	K      	19 	26 	0.0000  	3/2+          	-36.6156  	5    	17.81 M 61               	1068.6                   	          	        	B-      	100.00      
46 	K      	19 	27 	0.0000  	(2-)          	-35.4139  	7    	105 S 10                 	105                      	          	        	B-      	100.00      
47 	K      	19 	28 	0.0000  	1/2+          	-35.709   	3    	17.50 S 24               	17.5                     	          	        	B-      	100.00      
48 	K      	19 	29 	0.0000  	(2-)          	-32.2852  	23   	6.8 S 2                  	6.8                      	          	        	B-      	100.00      
48 	K      	19 	29 	0.0000  	(2-)          	-32.2852  	23   	6.8 S 2                  	6.8                      	          	        	BN      	1.14        
49 	K      	19 	30 	0.0000  	(1/2+,3/2+)   	-29.612   	3    	1.26 S 5                 	1.26                     	          	        	B-      	100.00      
49 	K      	19 	30 	0.0000  	(1/2+,3/2+)   	-29.612   	3    	1.26 S 5                 	1.26                     	          	        	BN      	86.00       
50 	K      	19 	31 	0.0000  	(0-,1-,2-)    	-25.736   	10   	472 MS 4                 	0.472                    	          	        	B-      	100.00      
50 	K      	19 	31 	0.0000  	(0-,1-,2-)    	-25.736   	10   	472 MS 4                 	0.472                    	          	        	BN      	29.00       
51 	K      	19 	32 	0.0000  	(1/2+,3/2+)   	-21.6     	6    	365 MS 5                 	0.365                    	          	        	B-      	100.00      
51 	K      	19 	32 	0.0000  	(1/2+,3/2+)   	-21.6     	6    	365 MS 5                 	0.365                    	          	        	BN      	47.00       
52 	K      	19 	33 	0.0000  	(2-)          	-16.0     	7    	118 MS 6                 	0.118                    	          	        	BN      	~ 73.00     
52 	K      	19 	33 	0.0000  	(2-)          	-16.0     	7    	118 MS 6                 	0.118                    	          	        	B-      	100.00      
53 	K      	19 	34 	0.0000  	(3/2+)        	-11.1     	7    	30 MS 5                  	0.03                     	          	        	B-      	100.00      
53 	K      	19 	34 	0.0000  	(3/2+)        	-11.1     	7    	30 MS 5                  	0.03                     	          	        	BN      	~ 75.00     
53 	K      	19 	34 	0.0000  	(3/2+)        	-11.1     	7    	30 MS 5                  	0.03                     	          	        	B2N     	< 10        
54 	K      	19 	35 	0.0000  	              	-4.3      	9    	10 MS 5                  	0.01                     	          	        	B-      	100.00      
54 	K      	19 	35 	0.0000  	              	-4.3      	9    	10 MS 5                  	0.01                     	          	        	BN      	> 0.00      
55 	K      	19 	36 	0.0000  	              	1.5       	12   	360 NS GT                	3.6E-7                   	          	        	B-      	            
55 	K      	19 	36 	0.0000  	              	1.5       	12   	360 NS GT                	3.6E-7                   	          	        	BN      	            
56 	K      	19 	37 	0.0000  	              	8.7       	10   	620 NS GT                	6.2E-7                   	          	        	B-      	            
56 	K      	19 	37 	0.0000  	              	8.7       	10   	620 NS GT                	6.2E-7                   	          	        	BN      	?           
56 	K      	19 	37 	0.0000  	              	8.7       	10   	620 NS GT                	6.2E-7                   	          	        	B2N     	?           
34 	Ca     	20 	14 	0.0000  	0+            	13.9      	3    	35 NS LT                 	3.5E-8                   	          	        	P       	            
35 	Ca     	20 	15 	0.0000  	              	4.79      	20   	25.7 MS 2                	0.0257                   	          	        	EC      	100.00      
35 	Ca     	20 	15 	0.0000  	              	4.79      	20   	25.7 MS 2                	0.0257                   	          	        	EP      	95.90       
35 	Ca     	20 	15 	0.0000  	              	4.79      	20   	25.7 MS 2                	0.0257                   	          	        	E2P     	4.10        
36 	Ca     	20 	16 	0.0000  	0+            	-6.45     	4    	102 MS 2                 	0.102                    	          	        	EC      	100.00      
36 	Ca     	20 	16 	0.0000  	0+            	-6.45     	4    	102 MS 2                 	0.102                    	          	        	EP      	54.30       
37 	Ca     	20 	17 	0.0000  	3/2+          	-13.1357  	8    	181.1 MS 10              	0.181                    	          	        	EC      	100.00      
37 	Ca     	20 	17 	0.0000  	3/2+          	-13.1357  	8    	181.1 MS 10              	0.181                    	          	        	EP      	82.10       
